CODMUNOCOR,SUICIDES
510010,1
510020,3
510025,8
510030,2
510140,1
510180,9
510190,1
510250,9
510263,1
510270,3
510300,1
510305,1
510320,2
510325,2
510335,2
510337,2
510340,32
510345,1
510350,1
510360,1
510410,1
510420,1
510460,1
510480,4
510510,3
510515,2
510525,4
510550,2
510560,2
510562,3
510622,1
510625,3
510626,1
510629,1
510630,7
510642,1
510675,2
510677,2
510682,1
510685,1
510704,3
510706,2
510710,2
510715,1
510719,1
510730,2
510760,19
510770,1
510787,2
510790,7
510792,5
510795,4
510805,1
510840,17
510850,1
520005,2
520010,1
520013,1
520017,2
520025,10
520030,1
520050,1
520060,1
520080,1
520110,26
520120,1
520130,1
520140,29
520180,1
520215,3
520250,1
520330,4
520340,2
520350,2
520355,1
520380,1
520390,2
520400,3
520410,1
520425,1
520430,1
520440,1
520450,10
520460,1
520490,1
520495,2
520510,5
520520,1
520540,3
520549,1
520551,2
520552,1
520580,1
520590,1
520620,1
520630,1
520640,1
520710,1
520740,1
520753,3
520760,2
520780,2
520790,1
520800,2
520840,1
520860,4
520870,119
520880,7
520890,2
520910,2
520970,4
520990,3
520995,1
521010,2
521015,1
521020,3
521030,1
521040,7
521090,4
521120,2
521130,1
521140,1
521150,10
521180,4
521190,5
521220,1
521250,8
521270,1
521280,1
521308,2
521310,8
521350,1
521370,1
521375,1
521377,1
521380,5
521400,1
521405,3
521440,1
521450,3
521460,1
521483,1
521520,1
521523,8
521525,1
521550,3
521560,2
521570,4
521630,4
521640,1
521645,1
521710,6
521730,1
521740,1
521760,3
521770,1
521800,7
521810,1
521830,1
521850,4
521860,3
521870,1
521880,14
521890,4
521925,1
521930,1
521940,1
521950,2
521970,1
521973,1
521975,1
522010,5
522020,6
522040,1
522045,4
522050,2
522060,1
522108,1
522140,8
522150,2
522160,5
522170,1
522185,5
522200,1
530010,176
