"CID10","OPC","CAT","SUBCAT","DESCR","RESTRSEXO"
"H812","","N","S","H81.2 Neuronite vestibular","5"
"H813","","N","S","H81.3 Outr vertigens perifericas","5"
"H814","","N","S","H81.4 Vertigem orig central","5"
"H818","","N","S","H81.8 Outr transt da funcao vestibular","5"
"H819","","N","S","H81.9 Transt NE da funcao vestibular","5"
"H82","*","S","S","H82   Sindr vertiginosas em doenc COP","5"
"H83","","S","N","H83   Outr transt do ouvido interno","5"
"H830","","N","S","H83.0 Labirintite","5"
"H831","","N","S","H83.1 Fistula do labirinto","5"
"H832","","N","S","H83.2 Disfuncao do labirinto","5"
"H833","","N","S","H83.3 Efeitos do ruido sobre o ouvido interno","5"
"H838","","N","S","H83.8 Outr transt espec do ouvido interno","5"
"H839","","N","S","H83.9 Transt NE do ouvido interno","5"
"H90","","S","N","H90   Perda audicao transt conducao neuro-sens","5"
"H900","","N","S","H90.0 Perda audicao bilateral dev transt conducao","5"
"H901","","N","S","H90.1 Perda aud unilat trans cond s/rest aud contr","5"
"H902","","N","S","H90.2 Perda NE de audicao dev transt de conducao","5"
"H903","","N","S","H90.3 Perda de audicao bilateral neuro-sensorial","5"
"H904","","N","S","H90.4 Perda aud unilat neuro-sens s/rest aud contr","5"
"H905","","N","S","H90.5 Perda de audicao neuro-sensorial NE","5"
"H906","","N","S","H90.6 Perda audic bilat mista conducao neuro-sens","5"
"H907","","N","S","H90.7 Perd aud uni mist cond neur s/rest aud contr","5"
"H908","","N","S","H90.8 Perda audicao mista conducao e neuro-sens NE","5"
"H91","","S","N","H91   Outr perdas de audicao","5"
"H910","","N","S","H91.0 Perda de audicao ototoxica","5"
"H911","","N","S","H91.1 Presbiacusia","5"
"H912","","N","S","H91.2 Perda de audicao subita idiopatica","5"
"H913","","N","S","H91.3 Surdo-mudez NCOP","5"
"H918","","N","S","H91.8 Outr perdas de audicao espec","5"
"H919","","N","S","H91.9 Perda NE de audicao","5"
"H92","","S","N","H92   Otalgia e secrecao auditiva","5"
"H920","","N","S","H92.0 Otalgia","5"
"H921","","N","S","H92.1 Otorreia","5"
"H922","","N","S","H92.2 Otorragia","5"
"H93","","S","N","H93   Outr transt do ouvido NCOP","5"
"H930","","N","S","H93.0 Transt degenerativos e vasculares do ouvido","5"
"H931","","N","S","H93.1 Tinnitus","5"
"H932","","N","S","H93.2 Outr percepcoes auditivas anormais","5"
"H933","","N","S","H93.3 Transt do nervo acustico","5"
"H938","","N","S","H93.8 Outr transt espec do ouvido","5"
"H939","","N","S","H93.9 Transt NE do ouvido","5"
"H94","*","S","N","H94   Outr transt do ouvido em doenc COP","5"
"H940","*","N","S","H94.0 Neurite acustica em doenc infecc parasit COP","5"
"H948","*","N","S","H94.8 Outr transt espec do ouvido em doenc COP","5"
"H95","","S","N","H95   Transt ouvido apof mastoide pos-proced NCOP","5"
"H950","","N","S","H95.0 Colesteatoma recorr cavidade pos-mastoidect","5"
"H951","","N","S","H95.1 Outr transt consequentes a mastoidectomia","5"
"H958","","N","S","H95.8 Outr transt ouvido apof mastoide pos-proced","5"
"H959","","N","S","H95.9 Transt NE ouvido apofise mastoide pos-proced","5"
"I00","","S","S","I00   Febre reumatica s/mencao de compr do coracao","5"
"I01","","S","N","I01   Febre reumatica c/compr do coracao","5"
"I010","","N","S","I01.0 Pericardite reumatica aguda","5"
"I011","","N","S","I01.1 Endocardite reumatica aguda","5"
"I012","","N","S","I01.2 Miocardite reumatica aguda","5"
"I018","","N","S","I01.8 Outr form de doenc cardiaca reumatica aguda","5"
"I019","","N","S","I01.9 Doenc cardiaca reumatica aguda NE","5"
"I02","","S","N","I02   Coreia reumatica","5"
"I020","","N","S","I02.0 Coreia reumatica c/compr cardiaco","5"
"I029","","N","S","I02.9 Coreia reumatica s/compr cardiaco","5"
"I05","","S","N","I05   Doenc reumaticas da valva mitral","5"
"I050","","N","S","I05.0 Estenose mitral","5"
"I051","","N","S","I05.1 Insuf mitral reumatica","5"
"I052","","N","S","I05.2 Estenose mitral c/insuf","5"
"I058","","N","S","I05.8 Outr doenc da valva mitral","5"
"I059","","N","S","I05.9 Doenc NE da valva mitral","5"
"I06","","S","N","I06   Doenc reumaticas da valva aortica","5"
"I060","","N","S","I06.0 Estenose aortica reumatica","5"
"I061","","N","S","I06.1 Insuf aortica reumatica","5"
"I062","","N","S","I06.2 Estenose aortica reumatica c/insuf","5"
"I068","","N","S","I06.8 Outr doenc reumaticas da valva aortica","5"
"I069","","N","S","I06.9 Doenc reumatica da valva aortica NE","5"
"I07","","S","N","I07   Doenc reumaticas da valva tricuspide","5"
"I070","","N","S","I07.0 Estenose tricuspide","5"
"I071","","N","S","I07.1 Insuf tricuspide","5"
"I072","","N","S","I07.2 Estenose tricuspide c/insuf","5"
"I078","","N","S","I07.8 Outr doenc da valva tricuspide","5"
"I079","","N","S","I07.9 Doenc NE da valva tricuspide","5"
"I08","","S","N","I08   Doenc de mult valvas","5"
"I080","","N","S","I08.0 Transt de valvas mitral e aortica","5"
"I081","","N","S","I08.1 Transt de ambas as valvas mitral tricuspide","5"
"I082","","N","S","I08.2 Transt de ambas as valvas aortica tricuspide","5"
"I083","","N","S","I08.3 Transt das valvas mitral aortica tricuspide","5"
"I088","","N","S","I08.8 Outr doenc de mult valvas","5"
"I089","","N","S","I08.9 Doenc NE de mult valvas","5"
"I09","","S","N","I09   Outr doenc reumaticas do coracao","5"
"I090","","N","S","I09.0 Miocardite reumatica","5"
"I091","","N","S","I09.1 Doenc reumaticas do endocardio valva NE","5"
"I092","","N","S","I09.2 Pericardite reumatica cronica","5"
"I098","","N","S","I09.8 Outr doenc reumaticas espec do coracao","5"
"I099","","N","S","I09.9 Doenc cardiaca reumatica NE","5"
"I10","","S","S","I10   Hipertensao essencial","5"
"I11","","S","N","I11   Doenc cardiaca hipertensiva","5"
"I110","","N","S","I11.0 Doenc cardiaca hipertensiva c/insuf cardiaca","5"
"I119","","N","S","I11.9 Doenc cardiaca hipertensiva s/insuf cardiaca","5"
"I12","","S","N","I12   Doenc renal hipertensiva","5"
"I120","","N","S","I12.0 Doenc renal hipertensiva c/insuf renal","5"
"I129","","N","S","I12.9 Doenc renal hipertensiva s/insuf renal","5"
"I13","","S","N","I13   Doenc cardiaca e renal hipertensiva","5"
"I130","","N","S","I13.0 Doenc cardiaca e renal hipert c/insufic card","5"
"I131","","N","S","I13.1 Doenc cardiaca e renal hipert c/insuf renal","5"
"I132","","N","S","I13.2 Doenc card renal hipert c/insuf card e renal","5"
"I139","","N","S","I13.9 Doenc cardiaca e renal hipertensiva NE","5"
"I15","","S","N","I15   Hipertensao secund","5"
"I150","","N","S","I15.0 Hipertensao renovascular","5"
"I151","","N","S","I15.1 Hipertensao secund a outr afeccoes renais","5"
"I152","","N","S","I15.2 Hipertensao secund a afeccoes endocrinas","5"
"I158","","N","S","I15.8 Outr form de hipertensao secund","5"
"I159","","N","S","I15.9 Hipertensao secund NE","5"
"I20","","S","N","I20   Angina pectoris","5"
"I200","","N","S","I20.0 Angina instavel","5"
"I201","","N","S","I20.1 Angina pectoris c/espasmo documentado","5"
"I208","","N","S","I20.8 Outr form de angina pectoris","5"
"I209","","N","S","I20.9 Angina pectoris NE","5"
"I21","","S","N","I21   Infarto agudo do miocardio","5"
"I210","","N","S","I21.0 Infarto agudo transmural parede ant miocard","5"
"I211","","N","S","I21.1 Infarto agudo transmural parede inf miocard","5"
"I212","","N","S","I21.2 Infarto agudo transmural miocardio outr loc","5"
"I213","","N","S","I21.3 Infarto agudo transmural miocardio loc NE","5"
"I214","","N","S","I21.4 Infarto agudo subendocardico do miocardio","5"
"I219","","N","S","I21.9 Infarto agudo do miocardio NE","5"
"I22","","S","N","I22   Infarto do miocardio recorrente","5"
"I220","","N","S","I22.0 Infarto do miocardio recorrente parede ant","5"
"I221","","N","S","I22.1 Infarto do miocardio recorrente parede infer","5"
"I228","","N","S","I22.8 Infarto do miocardio recorrente outr localiz","5"
"I229","","N","S","I22.9 Infarto do miocardio recorrente localiz NE","5"
"I23","","S","N","I23   Alg complic atuais subs infarto agud miocard","5"
"I230","","N","S","I23.0 Hemoperic c/compl subs infart agud miocard","5"
"I231","","N","S","I23.1 Com interatr c/comp atual subs inf agud mioc","5"
"I232","","N","S","I23.2 Com interven c/comp atual subs inf agud mioc","5"
"I233","","N","S","I23.3 Rupt par cor s/hemop c/comp subs inf ag mioc","5"
"I234","","N","S","I23.4 Rupt cord tend c/comp atual subs inf ag mioc","5"
"I235","","N","S","I23.5 Rupt musc pap c/comp atual subs inf ag mioc","5"
"I236","","N","S","I23.6 Tromb atr aur/vent c/comp at sub inf ag mioc","5"
"I238","","N","S","I23.8 Outr complic atuais subs infart agud miocard","5"
"I24","","S","N","I24   Outr doenc isquemicas agudas do coracao","5"
"I240","","N","S","I24.0 Tromb coronaria q n result infarto miocardio","5"
"I241","","N","S","I24.1 Sindr de Dressler","5"
"I248","","N","S","I24.8 Outr form doenc isquemica aguda do coracao","5"
"I249","","N","S","I24.9 Doenc isquemica aguda do coracao NE","5"
"I25","","S","N","I25   Doenc isquemica cronica do coracao","5"
"I250","","N","S","I25.0 Doenc cardiovasc ateroscler descr deste modo","5"
"I251","","N","S","I25.1 Doenc aterosclerotica do coracao","5"
"I252","","N","S","I25.2 Infarto antigo do miocardio","5"
"I253","","N","S","I25.3 Aneurisma cardiaco","5"
"I254","","N","S","I25.4 Aneurisma de arteria coronaria","5"
"I255","","N","S","I25.5 Miocardiopatia isquemica","5"
"I256","","N","S","I25.6 Isquemia miocardica silenciosa","5"
"I258","","N","S","I25.8 Outr form de doenc isquemica cronica coracao","5"
"I259","","N","S","I25.9 Doenc isquemica cronica do coracao NE","5"
"I26","","S","N","I26   Embolia pulmonar","5"
"I260","","N","S","I26.0 Embolia pulmonar c/menc cor pulmonale agudo","5"
"I269","","N","S","I26.9 Embolia pulmonar s/menc cor pulmonale agudo","5"
"I27","","S","N","I27   Outr form de doenc cardiaca pulmonar","5"
"I270","","N","S","I27.0 Hipertensao pulmonar prim","5"
"I271","","N","S","I27.1 Cardiopatia cifoescoliotica","5"
"I278","","N","S","I27.8 Outr doenc pulmonares do coracao espec","5"
"I279","","N","S","I27.9 Cardiopatia pulmonar NE","5"
"I28","","S","N","I28   Outr doenc dos vasos pulmonares","5"
"I280","","N","S","I28.0 Fistula arteriovenosa de vasos pulmonares","5"
"I281","","N","S","I28.1 Aneurisma da arteria pulmonar","5"
"I288","","N","S","I28.8 Outr doenc espec dos vasos pulmonares","5"
"I289","","N","S","I28.9 Doenc NE dos vasos pulmonares","5"
"I30","","S","N","I30   Pericardite aguda","5"
"I300","","N","S","I30.0 Pericardite aguda idiopatica nao especifica","5"
"I301","","N","S","I30.1 Pericardite infecc","5"
"I308","","N","S","I30.8 Outr form de pericardite aguda","5"
"I309","","N","S","I30.9 Pericardite aguda NE","5"
"I31","","S","N","I31   Outr doenc do pericardio","5"
"I310","","N","S","I31.0 Pericardite adesiva cronica","5"
"I311","","N","S","I31.1 Pericardite constritiva cronica","5"
"I312","","N","S","I31.2 Hemopericardio NCOP","5"
"I313","","N","S","I31.3 Derrame pericardico","5"
"I318","","N","S","I31.8 Outr doenc espec do pericardio","5"
"I319","","N","S","I31.9 Doenc NE do pericardio","5"
"I32","*","S","N","I32   Pericardite em doenc COP","5"
"I320","*","N","S","I32.0 Pericardite em doenc bacter COP","5"
"I321","*","N","S","I32.1 Pericardite outr doenc infecc e parasit COP","5"
"I328","*","N","S","I32.8 Pericardite em outr doenc COP","5"
"I33","","S","N","I33   Endocardite aguda e subaguda","5"
"I330","","N","S","I33.0 Endocardite infecc aguda e subaguda","5"
"I339","","N","S","I33.9 Endocardite aguda NE","5"
"I34","","S","N","I34   Transt nao-reumaticos da valva mitral","5"
"I340","","N","S","I34.0 Insuf mitral","5"
"I341","","N","S","I34.1 Prolapso mitral","5"
"I342","","N","S","I34.2 Estenose mitral nao-reumatica","5"
"I348","","N","S","I34.8 Outr transt nao-reumaticos da valva mitral","5"
"I349","","N","S","I34.9 Transt nao-reumaticos da valva mitral NE","5"
"I35","","S","N","I35   Transt nao-reumaticos da valva aortica","5"
"I350","","N","S","I35.0 Estenose aortica","5"
"I351","","N","S","I35.1 Insuf aortica","5"
"I352","","N","S","I35.2 Estenose aortica c/insuf","5"
"I358","","N","S","I35.8 Outr transt da valva aortica","5"
"I359","","N","S","I35.9 Transt NE da valva aortica","5"
"I36","","S","N","I36   Transt nao-reumaticos da valva tricuspide","5"
"I360","","N","S","I36.0 Estenose tricuspide nao-reumatica","5"
"I361","","N","S","I36.1 Insuf tricuspide nao-reumatica","5"
"I362","","N","S","I36.2 Estenose tricuspide c/insuf nao-reumatica","5"
"I368","","N","S","I36.8 Outr transt nao-reumaticos valva tricuspide","5"
"I369","","N","S","I36.9 Transt nao-reumaticos da valva tricuspide NE","5"
"I37","","S","N","I37   Transt da valva pulmonar","5"
"I370","","N","S","I37.0 Estenose da valva pulmonar","5"
"I371","","N","S","I37.1 Insuf da valva pulmonar","5"
"I372","","N","S","I37.2 Estenose da valva pulmonar c/insuf","5"
"I378","","N","S","I37.8 Outr transt da valva pulmonar","5"
"I379","","N","S","I37.9 Transt NE da valva pulmonar","5"
"I38","","S","S","I38   Endocardite de valva NE","5"
"I39","*","S","N","I39   Endocardite transt valvulares card doenc COP","5"
"I390","*","N","S","I39.0 Transt da valva mitral em doenc COP","5"
"I391","*","N","S","I39.1 Transt da valva aortica em doenc COP","5"
"I392","*","N","S","I39.2 Transt da valva tricuspide em doenc COP","5"
"I393","*","N","S","I39.3 Transt da valva pulmonar em doenc COP","5"
"I394","*","N","S","I39.4 Transt de mult valvas em doenc COP","5"
"I398","*","N","S","I39.8 Endocardite de valva NE em doenc COP","5"
"I40","","S","N","I40   Miocardite aguda","5"
"I400","","N","S","I40.0 Miocardite infecc","5"
"I401","","N","S","I40.1 Miocardite isolada","5"
"I408","","N","S","I40.8 Outr miocardites agudas","5"
"I409","","N","S","I40.9 Miocardite aguda NE","5"
"I41","*","S","N","I41   Miocardite em doenc COP","5"
"I410","*","N","S","I41.0 Miocardite em doenc bacter COP","5"
"I411","*","N","S","I41.1 Miocardite em doenc virais COP","5"
"I412","*","N","S","I41.2 Miocardite outr doenc infecc e parasit COP","5"
"I418","*","N","S","I41.8 Miocardite em outr doenc COP","5"
"I42","","S","N","I42   Cardiomiopatias","5"
"I420","","N","S","I42.0 Cardiomiopatia dilatada","5"
"I421","","N","S","I42.1 Cardiomiopatia obstrutiva hipertrofica","5"
"I422","","N","S","I42.2 Outr cardiomiopatias hipertroficas","5"
"I423","","N","S","I42.3 Doenc endomiocardica","5"
"I424","","N","S","I42.4 Fibroelastose endocardica","5"
"I425","","N","S","I42.5 Outr cardiomiopatias restritivas","5"
"I426","","N","S","I42.6 Cardiomiopatia alcoolica","5"
"I427","","N","S","I42.7 Cardiomiopatia dev drogas e outr agentes ext","5"
"I428","","N","S","I42.8 Outr cardiomiopatias","5"
"I429","","N","S","I42.9 Cardiomiopatia NE","5"
"I43","*","S","N","I43   Cardiomiopatia em doenc COP","5"
"I430","*","N","S","I43.0 Cardiomiopatia em doenc infecc e parasit COP","5"
"I431","*","N","S","I43.1 Cardiomiopatia em doenc metabolicas","5"
"I432","*","N","S","I43.2 Cardiomiopatia em doenc nutricionais","5"
"I438","*","N","S","I43.8 Cardiomiopatia em outr doenc COP","5"
"I44","","S","N","I44   Bloqueio atrioventricular e do ramo esquerdo","5"
"I440","","N","S","I44.0 Bloqueio atrioventricular de 1.grau","5"
"I441","","N","S","I44.1 Bloqueio atrioventricular de 2.grau","5"
"I442","","N","S","I44.2 Bloqueio atrioventricular total","5"
"I443","","N","S","I44.3 Outr form de bloqueio atrioventricular e NE","5"
"I444","","N","S","I44.4 Bloqueio do fasciculo anterior esquerdo","5"
"I445","","N","S","I44.5 Bloqueio do fasciculo posterior esquerdo","5"
"I446","","N","S","I44.6 Outr form de bloqueio fascicular e as NE","5"
"I447","","N","S","I44.7 Bloqueio de ramo esquerdo NE","5"
"I45","","S","N","I45   Outr transt de conducao","5"
"I450","","N","S","I45.0 Bloqueio fascicular direito","5"
"I451","","N","S","I45.1 Outr form de bloqueio de ramo direito e NE","5"
"I452","","N","S","I45.2 Bloqueio bifascicular","5"
"I453","","N","S","I45.3 Bloqueio trifascicular","5"
"I454","","N","S","I45.4 Bloqueio intraventricular nao especifico","5"
"I455","","N","S","I45.5 Outr form espec de bloqueio cardiaco","5"
"I456","","N","S","I45.6 Sindr de pre-excitacao","5"
"I458","","N","S","I45.8 Outr transt espec da conducao","5"
"I459","","N","S","I45.9 Transt de conducao NE","5"
"I46","","S","N","I46   Parada cardiaca","5"
"I460","","N","S","I46.0 Parada cardiaca c/ressuscitacao bem sucedida","5"
"I461","","N","S","I46.1 Morte subita cardiaca descrita desta form","5"
"I469","","N","S","I46.9 Parada cardiaca NE","5"
"I47","","S","N","I47   Taquicardia paroxistica","5"
"I470","","N","S","I47.0 Arritmia ventricular p/reentrada","5"
"I471","","N","S","I47.1 Taquicardia supraventricular","5"
"I472","","N","S","I47.2 Taquicardia ventricular","5"
"I479","","N","S","I47.9 Taquicardia paroxistica NE","5"
"I48","","S","S","I48   Flutter e fibrilacao atrial","5"
"I49","","S","N","I49   Outr arritmias cardiacas","5"
"I490","","N","S","I49.0 Flutter e fibrilacao ventricular","5"
"I491","","N","S","I49.1 Despolarizacao atrial prematura","5"
"I492","","N","S","I49.2 Despolarizacao juncional prematura","5"
"I493","","N","S","I49.3 Despolarizacao ventricular prematura","5"
"I494","","N","S","I49.4 Outr form de despolarizacao prematura e NE","5"
"I495","","N","S","I49.5 Sindr do no sinusal","5"
"I498","","N","S","I49.8 Outr arritmias cardiacas espec","5"
"I499","","N","S","I49.9 Arritmia cardiaca NE","5"
"I50","","S","N","I50   Insuf cardiaca","5"
"I500","","N","S","I50.0 Insuf cardiaca congestiva","5"
"I501","","N","S","I50.1 Insuf ventricular esquerda","5"
"I509","","N","S","I50.9 Insuf cardiaca NE","5"
"I51","","S","N","I51   Complic cardiopatias doenc cardiacas mal def","5"
"I510","","N","S","I51.0 Defeito adquir de septo cardiaco","5"
"I511","","N","S","I51.1 Ruptura de cordoalha tendinea NCOP","5"
"I512","","N","S","I51.2 Ruptura de musculo papilar NCOP","5"
"I513","","N","S","I51.3 Trombose intracardiaca NCOP","5"
"I514","","N","S","I51.4 Miocardite NE","5"
"I515","","N","S","I51.5 Degeneracao miocardica","5"
"I516","","N","S","I51.6 Doenc cardiovascular NE","5"
"I517","","N","S","I51.7 Cardiomegalia","5"
"I518","","N","S","I51.8 Outr doenc mal definidas do coracao","5"
"I519","","N","S","I51.9 Doenc NE do coracao","5"
"I52","*","S","N","I52   Outr afeccoes cardiacas em doenc COP","5"
"I520","*","N","S","I52.0 Outr afeccoes cardiacas em doenc bacter COP","5"
"I521","*","N","S","I52.1 Outr afecc card outr doenc infec parasit COP","5"
"I528","*","N","S","I52.8 Outr afeccoes cardiacas em outr doenc COP","5"
"I60","","S","N","I60   Hemorragia subaracnoide","5"
"I600","","N","S","I60.0 Hemorragia subarac prov sifao bifurc carotid","5"
"I601","","N","S","I60.1 Hemorragia subarac prov arteria cerebr media","5"
"I602","","N","S","I60.2 Hemorragia subarac prov arteria comunic ant","5"
"I603","","N","S","I60.3 Hemorragia subarac prov arteria comunic post","5"
"I604","","N","S","I60.4 Hemorragia subarac prov arteria basilar","5"
"I605","","N","S","I60.5 Hemorragia subarac prov arteria vertebral","5"
"I606","","N","S","I60.6 Hemorragia subarac prov outr arter intracran","5"
"I607","","N","S","I60.7 Hemorragia subarac prov arteria intracran NE","5"
"I608","","N","S","I60.8 Outr hemorragias subaracnoides","5"
"I609","","N","S","I60.9 Hemorragia subaracnoide NE","5"
"I61","","S","N","I61   Hemorragia intracerebral","5"
"I610","","N","S","I61.0 Hemorragia intracerebr hemisf subcortical","5"
"I611","","N","S","I61.1 Hemorragia intracerebr hemisferica cortical","5"
"I612","","N","S","I61.2 Hemorragia intracerebral hemisferica NE","5"
"I613","","N","S","I61.3 Hemorragia intracerebral do tronco cerebral","5"
"I614","","N","S","I61.4 Hemorragia intracerebral cerebelar","5"
"I615","","N","S","I61.5 Hemorragia intracerebral intraventricular","5"
"I616","","N","S","I61.6 Hemorragia intracerebral de mult localiz","5"
"I618","","N","S","I61.8 Outr hemorragias intracerebrais","5"
"I619","","N","S","I61.9 Hemorragia intracerebral NE","5"
"I62","","S","N","I62   Outr hemorragias intracranianas nao-traum","5"
"I620","","N","S","I62.0 Hemorragia subdural","5"
"I621","","N","S","I62.1 Hemorragia extradural nao-traum","5"
"I629","","N","S","I62.9 Hemorragia intracraniana NE","5"
"I63","","S","N","I63   Infarto cerebral","5"
"I630","","N","S","I63.0 Infarto cerebr dev tromb arterias pre-cerebr","5"
"I631","","N","S","I63.1 Infarto cerebr dev embol arterias pre-cerebr","5"
"I632","","N","S","I63.2 Inf cer dev oclusao esten NE art pre-cerebr","5"
"I633","","N","S","I63.3 Infarto cerebr dev trombose arterias cerebr","5"
"I634","","N","S","I63.4 Infarto cerebral dev embolia arterias cerebr","5"
"I635","","N","S","I63.5 Inf cer dev oclusao estenose NE art cerebr","5"
"I636","","N","S","I63.6 Inf cerebr dev tromb ven cerebr nao-piogenic","5"
"I638","","N","S","I63.8 Outr infartos cerebrais","5"
"I639","","N","S","I63.9 Infarto cerebral NE","5"
"I64","","S","S","I64   Acid vasc cerebr NE como hemorrag isquemico","5"
"I65","","S","N","I65   Oclus/esten art pre-cereb q n res inf cereb","5"
"I650","","N","S","I65.0 Oclusao e estenose da arteria vertebral","5"
"I651","","N","S","I65.1 Oclusao e estenose da arteria basilar","5"
"I652","","N","S","I65.2 Oclusao e estenose da arteria carotida","5"
"I653","","N","S","I65.3 Oclusao/estenose art pre-cerebr mult bilat","5"
"I658","","N","S","I65.8 Oclusao e estenose outr arteria pre-cerebral","5"
"I659","","N","S","I65.9 Oclusao e estenose arterias pre-cerebrais NE","5"
"I66","","S","N","I66   Oclusao/estenose art cereb q n res inf cereb","5"
"I660","","N","S","I66.0 Oclusao e estenose da arteria cerebral media","5"
"I661","","N","S","I66.1 Oclusao e estenose arteria cerebral anterior","5"
"I662","","N","S","I66.2 Oclusao e estenose arteria cerebral post","5"
"I663","","N","S","I66.3 Oclusao e estenose de arterias cerebelares","5"
"I664","","N","S","I66.4 Oclusao/estenose arterias cerebr mult bilat","5"
"I668","","N","S","I66.8 Oclusao e estenose de outr arteria cerebral","5"
"I669","","N","S","I66.9 Oclusao e estenose de arteria cerebral NE","5"
"I67","","S","N","I67   Outr doenc cerebrovasculares","5"
"I670","","N","S","I67.0 Disseccao de arterias cerebrais s/ruptura","5"
"I671","","N","S","I67.1 Aneurisma cerebral nao-roto","5"
"I672","","N","S","I67.2 Aterosclerose cerebral","5"
"I673","","N","S","I67.3 Lencoencefalopatia vascular progressiva","5"
"I674","","N","S","I67.4 Encefalopatia hipertensiva","5"
"I675","","N","S","I67.5 Doenc de Moyamoya","5"
"I676","","N","S","I67.6 Trombose nao-piogenica sist venoso intracran","5"
"I677","","N","S","I67.7 Arterite cerebral NCOP","5"
"I678","","N","S","I67.8 Outr doenc cerebrovasculares espec","5"
"I679","","N","S","I67.9 Doenc cerebrovascular NE","5"
"I68","*","S","N","I68   Transt cerebrovasculares em doenc COP","5"
"I680","*","N","S","I68.0 Angiopatia cerebral amiloidotica","5"
"I681","*","N","S","I68.1 Arterite cerebral em doenc infecc e parasit","5"
"I682","*","N","S","I68.2 Arterite cerebral em outr doenc COP","5"
"I688","*","N","S","I68.8 Outr transt cerebrovasculares em doenc COP","5"
"I69","","S","N","I69   Sequelas de doenc cerebrovasculares","5"
"I690","","N","S","I69.0 Sequelas de hemorragia subaranoidea","5"
"I691","","N","S","I69.1 Sequelas de hemorragia intracerebral","5"
"I692","","N","S","I69.2 Sequelas outr hemorrag intracran nao traum","5"
"I693","","N","S","I69.3 Sequelas de infarto cerebral","5"
"I694","","N","S","I69.4 Sequelas acid vasc cerebr NE c/hemorr isquem","5"
"I698","","N","S","I69.8 Sequelas outr doenc cerebrovasculares e NE","5"
"I70","","S","N","I70   Aterosclerose","5"
"I700","","N","S","I70.0 Aterosclerose da aorta","5"
"I701","","N","S","I70.1 Aterosclerose da arteria renal","5"
"I702","","N","S","I70.2 Aterosclerose das arterias das extremidades","5"
"I708","","N","S","I70.8 Aterosclerose de outr arterias","5"
"I709","","N","S","I70.9 Aterosclerose generalizada e a NE","5"
"I71","","S","N","I71   Aneurisma e disseccao da aorta","5"
"I710","","N","S","I71.0 Aneurisma dissecante da aorta","5"
"I711","","N","S","I71.1 Aneurisma da aorta toracica roto","5"
"I712","","N","S","I71.2 Aneurisma da aorta toracica s/mencao ruptura","5"
"I713","","N","S","I71.3 Aneurisma da aorta abdominal roto","5"
"I714","","N","S","I71.4 Aneurisma aorta abdominal s/mencao ruptura","5"
"I715","","N","S","I71.5 Aneurisma da aorta toraco-abdominal roto","5"
"I716","","N","S","I71.6 Aneurisma aorta toraco-abdom s/menc ruptura","5"
"I718","","N","S","I71.8 Aneurisma da aorta de localiz NE roto","5"
"I719","","N","S","I71.9 Aneurisma aortico local NE s/mencao ruptura","5"
"I72","","S","N","I72   Outr aneurismas","5"
"I720","","N","S","I72.0 Aneurisma da arteria carotida","5"
"I721","","N","S","I72.1 Aneurisma de arteria dos membros super","5"
"I722","","N","S","I72.2 Aneurisma da arteria renal","5"
"I723","","N","S","I72.3 Aneurisma de arteria iliaca","5"
"I724","","N","S","I72.4 Aneurisma de arteria dos membros infer","5"
"I728","","N","S","I72.8 Aneurisma de outr arterias espec","5"
"I729","","N","S","I72.9 Aneurisma de localiz NE","5"
"I73","","S","N","I73   Outr doenc vasculares perifericas","5"
"I730","","N","S","I73.0 Sindr de Raynaud","5"
"I731","","N","S","I73.1 Tromboangeite obliterante","5"
"I738","","N","S","I73.8 Outr doenc vasculares perifericas espec","5"
"I739","","N","S","I73.9 Doenc vasculares perifericas NE","5"
"I74","","S","N","I74   Embolia e trombose arteriais","5"
"I740","","N","S","I74.0 Embolia e trombose da aorta abdominal","5"
"I741","","N","S","I74.1 Embolia trombose outr porcoes da aorta e NE","5"
"I742","","N","S","I74.2 Embolia e trombose de arterias membros super","5"
"I743","","N","S","I74.3 Embolia e trombose de arterias membros infer","5"
"I744","","N","S","I74.4 Embolia e trombose de arterias membros NE","5"
"I745","","N","S","I74.5 Embolia e trombose da arteria iliaca","5"
"I748","","N","S","I74.8 Embolia e trombose de outr arterias","5"
"I749","","N","S","I74.9 Embolia e trombose de arteria NE","5"
"I77","","S","N","I77   Outr afeccoes das arterias e arteriolas","5"
"I770","","N","S","I77.0 Fistula arteriovenosa adquir","5"
"I771","","N","S","I77.1 Estenose de arteria","5"
"I772","","N","S","I77.2 Ruptura de arteria","5"
"I773","","N","S","I77.3 Displasia fibromuscular arterial","5"
"I774","","N","S","I77.4 Sindr de compressao da arteria celiaca","5"
"I775","","N","S","I77.5 Necrose de arteria","5"
"I776","","N","S","I77.6 Arterite NE","5"
"I778","","N","S","I77.8 Outr afeccoes espec arterias e arteriolas","5"
"I779","","N","S","I77.9 Afeccoes de arterias e arteriolas NE","5"
"I78","","S","N","I78   Doenc dos capilares","5"
"I780","","N","S","I78.0 Telangiectasia hemorragica hereditaria","5"
"I781","","N","S","I78.1 Nevo nao-neoplasico","5"
"I788","","N","S","I78.8 Outr doenc dos capilares","5"
"I789","","N","S","I78.9 Doenc NE dos capilares","5"
"I79","*","S","N","I79   Transt arter arteriolas capilares doenc COP","5"
"I790","*","N","S","I79.0 Aneurisma da aorta em doenc COP","5"
"I791","*","N","S","I79.1 Aortite em doenc COP","5"
