"Município";"Internações"
"293220 Ubaitaba";8
"293230 Ubatã";3
"293240 Uibaí";5
"293245 Umburanas";5
"293250 Una";21
"293260 Urandi";10
"293270 Uruçuca";3
"293280 Utinga";5
"293290 Valença";42
"293300 Valente";9
"293305 Várzea da Roça";5
"293310 Várzea do Poço";10
"293315 Várzea Nova";6
"293317 Varzedo";1
"293320 Vera Cruz";13
"293325 Vereda";4
"293330 Vitória da Conquista";195
"293340 Wagner";6
"293345 Wanderley";4
"293350 Wenceslau Guimarães";6
"293360 Xique-Xique";45
"310010 Abadia dos Dourados";1
"310020 Abaeté";6
"310030 Abre Campo";6
"310040 Acaiaca";4
"310050 Açucena";3
"310060 Água Boa";5
"310090 Águas Formosas";1
"310100 Águas Vermelhas";5
"310110 Aimorés";62
"310120 Aiuruoca";3
"310150 Além Paraíba";37
"310160 Alfenas";60
"310163 Alfredo Vasconcelos";2
"310170 Almenara";33
"310180 Alpercata";5
"310190 Alpinópolis";14
"310200 Alterosa";6
"310205 Alto Caparaó";6
"315350 Alto Jequitibá";7
"310210 Alto Rio Doce";3
"310220 Alvarenga";2
"310230 Alvinópolis";6
"310240 Alvorada de Minas";2
"310250 Amparo do Serra";4
"310260 Andradas";15
"310280 Andrelândia";14
"310285 Angelândia";3
"310290 Antônio Carlos";4
"310300 Antônio Dias";4
"310310 Antônio Prado de Minas";4
"310320 Araçaí";2
"310330 Aracitaba";1
"310340 Araçuaí";46
"310350 Araguari";44
"310360 Arantina";1
"310370 Araponga";2
"310375 Araporã";5
"310380 Arapuá";1
"310390 Araújos";2
"310400 Araxá";22
"310410 Arceburgo";1
"310420 Arcos";32
"310430 Areado";8
"310440 Argirita";1
"310445 Aricanduva";3
"310450 Arinos";3
"310460 Astolfo Dutra";13
"310470 Ataléia";4
"310490 Baependi";65
"310500 Baldim";5
"310510 Bambuí";16
"310520 Bandeira";2
"310530 Bandeira do Sul";1
"310540 Barão de Cocais";8
"310550 Barão de Monte Alto";3
"310560 Barbacena";54
"310570 Barra Longa";4
"310590 Barroso";9
"310600 Bela Vista de Minas";10
"310610 Belmiro Braga";1
"310620 Belo Horizonte";1552
"310630 Belo Oriente";14
"310640 Belo Vale";2
"310650 Berilo";2
"310665 Berizal";2
"310670 Betim";226
"310690 Bicas";9
"310700 Biquinhas";2
"310710 Boa Esperança";19
"310720 Bocaina de Minas";1
"310730 Bocaiúva";39
"310740 Bom Despacho";41
"310750 Bom Jardim de Minas";8
"310760 Bom Jesus da Penha";2
"310770 Bom Jesus do Amparo";1
"310780 Bom Jesus do Galho";8
"310790 Bom Repouso";2
"310800 Bom Sucesso";9
"310810 Bonfim";2
"310825 Bonito de Minas";1
"310830 Borda da Mata";4
"310840 Botelhos";5
"310850 Botumirim";1
"310870 Brás Pires";3
"310855 Brasilândia de Minas";7
"310860 Brasília de Minas";14
"310880 Braúnas";7
"310890 Brazópolis";20
"310900 Brumadinho";13
"310910 Bueno Brandão";7
"310920 Buenópolis";8
"310925 Bugre";1
"310930 Buritis";8
"310940 Buritizeiro";15
"310950 Cabo Verde";8
"310970 Cachoeira de Minas";3
"310270 Cachoeira de Pajeú";4
"310990 Caetanópolis";9
"311000 Caeté";20
"311010 Caiana";7
"311020 Cajuri";3
"311030 Caldas";5
"311040 Camacho";2
"311050 Camanducaia";20
"311060 Cambuí";9
"311070 Cambuquira";3
"311080 Campanário";2
"311090 Campanha";9
"311100 Campestre";12
"311110 Campina Verde";10
"311115 Campo Azul";2
"311120 Campo Belo";33
"311130 Campo do Meio";10
"311140 Campo Florido";1
"311150 Campos Altos";3
"311160 Campos Gerais";7
"311190 Cana Verde";5
"311170 Canaã";3
"311180 Canápolis";2
"311200 Candeias";8
"311210 Caparaó";6
"311220 Capela Nova";5
"311230 Capelinha";56
"311240 Capetinga";5
"311250 Capim Branco";3
"311260 Capinópolis";10
"311265 Capitão Andrade";4
"311270 Capitão Enéas";3
"311280 Capitólio";4
"311290 Caputira";4
"311300 Caraí";8
"311310 Caranaíba";3
"311320 Carandaí";4
"311330 Carangola";55
"311340 Caratinga";28
"311350 Carbonita";4
"311360 Careaçu";5
"311370 Carlos Chagas";5
"311380 Carmésia";2
"311390 Carmo da Cachoeira";9
"311400 Carmo da Mata";5
"311410 Carmo de Minas";4
"311420 Carmo do Cajuru";2
"311430 Carmo do Paranaíba";11
"311440 Carmo do Rio Claro";4
"311450 Carmópolis de Minas";12
"311455 Carneirinho";2
"311460 Carrancas";2
"311470 Carvalhópolis";1
"311480 Carvalhos";4
"311490 Casa Grande";2
"311500 Cascalho Rico";1
"311510 Cássia";19
"311530 Cataguases";62
"311535 Catas Altas";1
"311540 Catas Altas da Noruega";2
"311545 Catuji";1
"311547 Catuti";14
"311550 Caxambu";29
"311560 Cedro do Abaeté";1
"311570 Central de Minas";5
"311580 Centralina";3
"311590 Chácara";1
"311600 Chalé";5
"311610 Chapada do Norte";48
"311615 Chapada Gaúcha";3
"311630 Cipotânea";2
"311640 Claraval";1
"311650 Claro dos Poções";5
"311660 Cláudio";22
"311670 Coimbra";6
"311680 Coluna";4
"311690 Comendador Gomes";1
"311700 Comercinho";25
"311710 Conceição da Aparecida";7
"311520 Conceição da Barra de Minas";2
"311730 Conceição das Alagoas";47
"311720 Conceição das Pedras";2
"311740 Conceição de Ipanema";1
"311750 Conceição do Mato Dentro";14
"311760 Conceição do Pará";3
"311770 Conceição do Rio Verde";4
"311780 Conceição dos Ouros";4
"311783 Cônego Marinho";3
"311787 Confins";3
"311790 Congonhal";4
"311800 Congonhas";25
"311810 Congonhas do Norte";2
"311820 Conquista";2
"311830 Conselheiro Lafaiete";43
"311840 Conselheiro Pena";11
"311860 Contagem";345
"311870 Coqueiral";5
"311880 Coração de Jesus";16
"311890 Cordisburgo";6
"311910 Corinto";13
"311920 Coroaci";5
"311930 Coromandel";14
"311940 Coronel Fabriciano";48
"311950 Coronel Murta";6
"311960 Coronel Pacheco";1
"311970 Coronel Xavier Chaves";1
"311980 Córrego Danta";1
"311990 Córrego do Bom Jesus";1
"311995 Córrego Fundo";1
"312010 Couto de Magalhães de Minas";4
"312015 Crisólita";4
"312020 Cristais";5
"312030 Cristália";4
"312040 Cristiano Otoni";1
"312050 Cristina";12
"312060 Crucilândia";2
"312080 Cruzília";22
"312083 Cuparaque";1
"312087 Curral de Dentro";16
"312090 Curvelo";47
"312100 Datas";1
"312110 Delfim Moreira";8
"312120 Delfinópolis";4
"312125 Delta";1
"312130 Descoberto";2
"312140 Desterro de Entre Rios";5
"312150 Desterro do Melo";2
"312160 Diamantina";30
"312170 Diogo de Vasconcelos";2
"312180 Dionísio";2
"312190 Divinésia";2
"312200 Divino";21
"312230 Divinópolis";52
"312235 Divisa Alegre";2
"312240 Divisa Nova";6
"312245 Divisópolis";6
"312250 Dom Cavati";9
"312260 Dom Joaquim";2
"312270 Dom Silvério";4
"312290 Dona Eusébia";8
"312300 Dores de Campos";5
"312310 Dores de Guanhães";2
"312320 Dores do Indaiá";5
"312330 Dores do Turvo";2
"312340 Doresópolis";2
"312352 Durandé";3
"312360 Elói Mendes";8
"312370 Engenheiro Caldas";2
"312380 Engenheiro Navarro";2
"312385 Entre Folhas";4
"312390 Entre Rios de Minas";10
"312400 Ervália";17
"312410 Esmeraldas";60
"312420 Espera Feliz";28
"312430 Espinosa";15
"312440 Espírito Santo do Dourado";3
"312450 Estiva";6
"312460 Estrela Dalva";1
"312480 Estrela do Sul";5
"312490 Eugenópolis";5
"312500 Ewbank da Câmara";1
"312510 Extrema";18
"312520 Fama";1
"312530 Faria Lemos";4
"312540 Felício dos Santos";2
"312560 Felisburgo";3
"312570 Felixlândia";7
"312580 Fernandes Tourinho";1
"312590 Ferros";3
"312595 Fervedouro";12
"312600 Florestal";3
"312610 Formiga";39
"312620 Formoso";4
"312630 Fortaleza de Minas";4
"312640 Fortuna de Minas";2
"312650 Francisco Badaró";3
"312660 Francisco Dumont";2
"312670 Francisco Sá";7
"312680 Frei Gaspar";6
"312690 Frei Inocêncio";4
"312695 Frei Lagonegro";4
"312700 Fronteira";5
"312705 Fronteira dos Vales";3
"312707 Fruta de Leite";4
"312710 Frutal";28
"312720 Funilândia";6
"312730 Galiléia";4
"312733 Gameleiras";8
"312737 Goiabeira";2
"312740 Gonçalves";5
"312750 Gonzaga";3
"312760 Gouveia";5
"312770 Governador Valadares";119
"312780 Grão Mogol";9
"312790 Grupiara";1
"312800 Guanhães";44
"312810 Guapé";5
"312820 Guaraciaba";3
"312825 Guaraciama";3
"312830 Guaranésia";6
"312840 Guarani";4
"312850 Guarará";3
"312860 Guarda-Mor";1
"312870 Guaxupé";71
"312880 Guidoval";6
"312890 Guimarânia";2
"312900 Guiricema";3
"312910 Gurinhatã";2
"312920 Heliodora";4
"312930 Iapu";4
"312940 Ibertioga";2
"312950 Ibiá";1
"312960 Ibiaí";2
"312965 Ibiracatu";1
"312970 Ibiraci";5
"312980 Ibirité";68
"313000 Ibituruna";2
"313005 Icaraí de Minas";5
"313010 Igarapé";19
"313020 Igaratinga";5
"313030 Iguatama";9
"313040 Ijaci";4
"313055 Imbé de Minas";3
"313060 Inconfidentes";2
"313065 Indaiabira";8
"313090 Inhapim";11
"313100 Inhaúma";5
"313110 Inimutaba";4
"313115 Ipaba";6
"313120 Ipanema";6
"313130 Ipatinga";125
"313140 Ipiaçu";4
"313150 Ipuiúna";6
"313160 Iraí de Minas";6
"313170 Itabira";43
"313180 Itabirinha";1
"313190 Itabirito";21
"313200 Itacambira";3
"313210 Itacarambi";3
"313220 Itaguara";2
"313230 Itaipé";4
"313240 Itajubá";125
"313250 Itamarandiba";34
"313260 Itamarati de Minas";2
"313270 Itambacuri";23
"313280 Itambé do Mato Dentro";1
"313300 Itamonte";3
"313310 Itanhandu";9
"313320 Itanhomi";3
"313330 Itaobim";13
"313340 Itapagipe";3
"313350 Itapecerica";17
"313360 Itapeva";1
"313370 Itatiaiuçu";6
"313375 Itaú de Minas";9
"313380 Itaúna";47
"313390 Itaverava";2
"313400 Itinga";11
"313410 Itueta";6
"313420 Ituiutaba";61
"313440 Iturama";12
"313450 Itutinga";3
"313460 Jaboticatubas";15
"313470 Jacinto";2
"313480 Jacuí";3
"313490 Jacutinga";5
"313500 Jaguaraçu";1
"313505 Jaíba";18
"313507 Jampruca";2
"313510 Janaúba";28
"313520 Januária";17
"313530 Japaraíba";4
"313535 Japonvar";3
"313540 Jeceaba";7
"313545 Jenipapo de Minas";11
"313550 Jequeri";2
"313560 Jequitaí";6
"313570 Jequitibá";3
"313580 Jequitinhonha";9
"313590 Jesuânia";2
"313600 Joaíma";6
"313610 Joanésia";3
"313620 João Monlevade";53
"313630 João Pinheiro";13
"313640 Joaquim Felício";1
"313650 Jordânia";5
"313652 José Gonçalves de Minas";6
"313655 José Raydan";3
"313657 Josenópolis";2
"313665 Juatuba";13
"313670 Juiz de Fora";279
"313680 Juramento";2
"313690 Juruaia";8
"313695 Juvenília";1
"313700 Ladainha";6
"313710 Lagamar";8
"313720 Lagoa da Prata";31
"313730 Lagoa dos Patos";7
"313740 Lagoa Dourada";8
"313750 Lagoa Formosa";8
"313753 Lagoa Grande";2
"313760 Lagoa Santa";19
"313770 Lajinha";4
"313780 Lambari";6
"313790 Lamim";2
"313800 Laranjal";4
"313810 Lassance";3
"313820 Lavras";27
"313830 Leandro Ferreira";1
"313835 Leme do Prado";4
"313840 Leopoldina";50
"313850 Liberdade";3
"313860 Lima Duarte";10
"313862 Limeira do Oeste";1
"313865 Lontra";3
"313867 Luisburgo";7
"313868 Luislândia";3
"313870 Luminárias";3
"313880 Luz";21
"313890 Machacalis";1
"313900 Machado";19
"313910 Madre de Deus de Minas";1
"313920 Malacacheta";4
"313925 Mamonas";15
"313930 Manga";23
"313940 Manhuaçu";39
"313950 Manhumirim";16
"313960 Mantena";14
"313980 Mar de Espanha";7
"313970 Maravilhas";5
"313990 Maria da Fé";11
"314000 Mariana";44
"314010 Marilac";1
"314015 Mário Campos";6
"314030 Marliéria";4
"314050 Martinho Campos";4
"314053 Martins Soares";5
"314055 Mata Verde";5
"314060 Materlândia";7
"314070 Mateus Leme";14
"317150 Mathias Lobato";2
"314080 Matias Barbosa";2
"314085 Matias Cardoso";2
"314090 Matipó";3
"314100 Mato Verde";5
"314110 Matozinhos";17
"314120 Matutina";3
"314130 Medeiros";4
"314140 Medina";43
"314150 Mendes Pimentel";2
"314160 Mercês";19
"314170 Mesquita";3
"314180 Minas Novas";167
"314190 Minduri";3
"314200 Mirabela";3
"314210 Miradouro";9
"314220 Miraí";9
"314230 Moeda";3
"314240 Moema";6
"314250 Monjolos";1
"314260 Monsenhor Paulo";7
"314270 Montalvânia";1
"314280 Monte Alegre de Minas";5
"314290 Monte Azul";32
"314300 Monte Belo";6
"314310 Monte Carmelo";19
"314315 Monte Formoso";2
"314320 Monte Santo de Minas";14
"314340 Monte Sião";4
"314330 Montes Claros";178
"314345 Montezuma";2
"314350 Morada Nova de Minas";2
"314360 Morro da Garça";3
"314370 Morro do Pilar";1
"314380 Munhoz";1
"314390 Muriaé";96
"314400 Mutum";8
"314410 Muzambinho";16
"314430 Nanuque";17
"314435 Naque";3
"314437 Natalândia";2
"314440 Natércia";1
"314450 Nazareno";4
"314460 Nepomuceno";9
"314465 Ninheira";14
"314467 Nova Belém";1
"314470 Nova Era";24
"314480 Nova Lima";34
"314490 Nova Módica";2
"314500 Nova Ponte";7
"314505 Nova Porteirinha";3
"314510 Nova Resende";5
"314520 Nova Serrana";35
"313660 Nova União";1
"314530 Novo Cruzeiro";6
"314535 Novo Oriente de Minas";2
"314537 Novorizonte";16
"314540 Olaria";4
"314545 Olhos-d'Água";2
"314560 Oliveira";25
"314570 Oliveira Fortes";3
"314580 Onça de Pitangui";5
"314585 Oratórios";2
"314587 Orizânia";4
"314590 Ouro Branco";11
"314600 Ouro Fino";8
"314610 Ouro Preto";87
"314620 Ouro Verde de Minas";2
"314625 Padre Carvalho";6
"314630 Padre Paraíso";13
"314655 Pai Pedro";2
"314640 Paineiras";3
"314650 Pains";1
"314670 Palma";4
"314675 Palmópolis";3
"314690 Papagaios";5
"314710 Pará de Minas";63
"314700 Paracatu";35
"314720 Paraguaçu";9
"314730 Paraisópolis";3
"314740 Paraopeba";18
"314760 Passa Quatro";11
"314770 Passa Tempo";14
"314750 Passabém";1
"314790 Passos";58
"314800 Patos de Minas";76
"314810 Patrocínio";49
"314820 Patrocínio do Muriaé";7
"314830 Paula Cândido";8
"314840 Paulistas";3
"314850 Pavão";2
"314860 Peçanha";9
"314870 Pedra Azul";17
"314875 Pedra Bonita";7
"314880 Pedra do Anta";3
"314890 Pedra do Indaiá";2
"314900 Pedra Dourada";1
"314910 Pedralva";10
"314915 Pedras de Maria da Cruz";4
"314930 Pedro Leopoldo";24
"314940 Pedro Teixeira";2
"314950 Pequeri";1
"314960 Pequi";2
"314970 Perdigão";2
"314980 Perdizes";1
"314990 Perdões";8
"314995 Periquito";5
"315000 Pescador";1
"315010 Piau";2
"315015 Piedade de Caratinga";4
"315020 Piedade de Ponte Nova";3
"315030 Piedade do Rio Grande";3
"315040 Piedade dos Gerais";4
"315050 Pimenta";10
"315053 Pingo-d'Água";8
"315057 Pintópolis";7
"315060 Piracema";1
"315080 Piranga";9
"315090 Piranguçu";9
"315100 Piranguinho";10
"315110 Pirapetinga";5
"315120 Pirapora";42
"315130 Piraúba";8
"315140 Pitangui";12
"315150 Piumhi";69
"315160 Planura";1
"315170 Poço Fundo";8
"315180 Poços de Caldas";76
"315190 Pocrane";4
"315200 Pompéu";18
"315210 Ponte Nova";27
"315213 Ponto Chique";1
"315217 Ponto dos Volantes";14
"315220 Porteirinha";15
"315230 Porto Firme";3
"315240 Poté";1
"315250 Pouso Alegre";60
"315260 Pouso Alto";10
"315270 Prados";4
"315280 Prata";6
"315290 Pratápolis";4
"315300 Pratinha";1
"315310 Presidente Bernardes";2
"315320 Presidente Juscelino";5
"315330 Presidente Kubitschek";5
"315340 Presidente Olegário";4
"315360 Prudente de Morais";8
"315370 Quartel Geral";1
"315390 Raposos";10
"315400 Raul Soares";26
"315410 Recreio";8
"315415 Reduto";4
"315420 Resende Costa";6
"315430 Resplendor";22
"315450 Riacho dos Machados";4
"315460 Ribeirão das Neves";146
"315480 Rio Acima";6
"315490 Rio Casca";7
"315510 Rio do Prado";3
"315520 Rio Espera";2
"315530 Rio Manso";1
"315540 Rio Novo";3
"315550 Rio Paranaíba";1
"315560 Rio Pardo de Minas";10
"315570 Rio Piracicaba";8
"315580 Rio Pomba";47
"315590 Rio Preto";1
"315600 Rio Vermelho";16
"315610 Ritápolis";4
"315620 Rochedo de Minas";2
"315630 Rodeiro";8
"315640 Romaria";1
"315645 Rosário da Limeira";3
"315650 Rubelita";7
"315660 Rubim";8
"315670 Sabará";53
"315680 Sabinópolis";10
"315690 Sacramento";12
"315700 Salinas";56
"315710 Salto da Divisa";4
"315720 Santa Bárbara";10
"315725 Santa Bárbara do Leste";1
"315727 Santa Bárbara do Monte Verde";1
"315733 Santa Cruz de Minas";5
"315737 Santa Cruz de Salinas";7
"315740 Santa Cruz do Escalvado";2
"315750 Santa Efigênia de Minas";1
"315770 Santa Juliana";4
"315780 Santa Luzia";101
"315790 Santa Margarida";4
"315800 Santa Maria de Itabira";4
"315810 Santa Maria do Salto";1
"315820 Santa Maria do Suaçuí";8
"315920 Santa Rita de Caldas";4
"315930 Santa Rita de Jacutinga";6
"315935 Santa Rita de Minas";5
"315950 Santa Rita do Itueto";3
"315960 Santa Rita do Sapucaí";10
"315970 Santa Rosa da Serra";1
"315980 Santa Vitória";7
"315830 Santana da Vargem";1
"315840 Santana de Cataguases";10
"315850 Santana de Pirapama";3
"315860 Santana do Deserto";2
"315880 Santana do Jacaré";1
"315890 Santana do Manhuaçu";6
"315895 Santana do Paraíso";25
"315910 Santana dos Montes";1
"315990 Santo Antônio do Amparo";5
"316000 Santo Antônio do Aventureiro";1
"316010 Santo Antônio do Grama";3
"316030 Santo Antônio do Jacinto";2
"316040 Santo Antônio do Monte";12
"316045 Santo Antônio do Retiro";1
"316070 Santos Dumont";16
"316080 São Bento Abade";1
"316090 São Brás do Suaçuí";2
"316095 São Domingos das Dores";7
"316100 São Domingos do Prata";26
"316105 São Félix de Minas";1
"316110 São Francisco";56
"316120 São Francisco de Paula";3
"316130 São Francisco de Sales";2
"316140 São Francisco do Glória";3
"316150 São Geraldo";1
"316165 São Geraldo do Baixio";3
"316170 São Gonçalo do Abaeté";2
"316180 São Gonçalo do Pará";2
"316190 São Gonçalo do Rio Abaixo";4
"316200 São Gonçalo do Sapucaí";4
"316210 São Gotardo";12
"316220 São João Batista do Glória";5
"316230 São João da Mata";1
"316240 São João da Ponte";42
"316245 São João das Missões";10
"316250 São João del Rei";58
"316255 São João do Manhuaçu";8
"316257 São João do Manteninha";4
"316260 São João do Oriente";7
"316265 São João do Pacuí";1
"316270 São João do Paraíso";54
"316280 São João Evangelista";6
"316290 São João Nepomuceno";10
"316292 São Joaquim de Bicas";14
"316294 São José da Barra";6
"316295 São José da Lapa";10
"316300 São José da Safira";1
"316320 São José do Alegre";4
"316350 São José do Jacuri";1
"316360 São José do Mantimento";1
"316370 São Lourenço";22
"316380 São Miguel do Anta";8
"316390 São Pedro da União";8
"316410 São Pedro do Suaçuí";2
"316400 São Pedro dos Ferros";4
"316420 São Romão";4
"316430 São Roque de Minas";5
"316443 São Sebastião da Vargem Alegre";8
"316447 São Sebastião do Anta";3
"316450 São Sebastião do Maranhão";2
"316460 São Sebastião do Oeste";4
"316470 São Sebastião do Paraíso";25
"316520 São Thomé das Letras";3
"316500 São Tiago";5
"316510 São Tomás de Aquino";1
"316530 São Vicente de Minas";3
"316540 Sapucaí-Mirim";1
"316550 Sardoá";3
"316553 Sarzedo";22
"316556 Sem-Peixe";2
"316557 Senador Amaral";9
"316570 Senador Firmino";1
"316590 Senador Modestino Gonçalves";8
"316600 Senhora de Oliveira";2
"316610 Senhora do Porto";3
"316620 Senhora dos Remédios";3
"316630 Sericita";4
"316650 Serra Azul de Minas";4
"316680 Serra do Salitre";4
"316670 Serra dos Aimorés";4
"316690 Serrania";5
"316695 Serranópolis de Minas";3
"316700 Serranos";3
"316710 Serro";13
"316720 Sete Lagoas";141
"316555 Setubinha";1
"316730 Silveirânia";7
"316740 Silvianópolis";3
"316760 Simonésia";5
"316770 Sobrália";2
"316780 Soledade de Minas";3
"316790 Tabuleiro";7
"316800 Taiobeiras";48
"316805 Taparuba";4
"316810 Tapira";1
"316820 Tapiraí";2
"316840 Tarumirim";12
"316850 Teixeiras";13
"316860 Teófilo Otoni";34
"316870 Timóteo";56
"316880 Tiradentes";3
"316890 Tiros";2
"316900 Tocantins";10
"316905 Tocos do Moji";1
"316910 Toledo";3
"316920 Tombos";8
"316930 Três Corações";53
"316935 Três Marias";23
"316940 Três Pontas";22
"316950 Tumiritinga";4
"316960 Tupaciguara";5
"316970 Turmalina";33
"316980 Turvolândia";5
"316990 Ubá";70
"317000 Ubaí";4
"317005 Ubaporanga";2
"317010 Uberaba";192
"317020 Uberlândia";363
"317030 Umburatiba";1
"317040 Unaí";17
"317043 União de Minas";5
"317052 Urucuia";4
"317057 Vargem Alegre";3
"317060 Vargem Bonita";9
"317065 Vargem Grande do Rio Pardo";4
"317070 Varginha";55
"317075 Varjão de Minas";1
"317080 Várzea da Palma";11
"317090 Varzelândia";2
"317100 Vazante";13
"317103 Verdelândia";4
"317107 Veredinha";8
"317115 Vermelho Novo";3
"317120 Vespasiano";63
"317130 Viçosa";34
"317140 Vieiras";2
"317160 Virgem da Lapa";13
"317170 Virgínia";9
"317180 Virginópolis";4
"317190 Virgolândia";2
"317200 Visconde do Rio Branco";8
"317210 Volta Grande";3
"317220 Wenceslau Braz";2
"320010 Afonso Cláudio";11
"320016 Água Doce do Norte";3
"320013 Águia Branca";1
"320020 Alegre";16
"320030 Alfredo Chaves";8
"320035 Alto Rio Novo";2
"320040 Anchieta";7
"320050 Apiacá";8
"320060 Aracruz";25
"320070 Atilio Vivacqua";8
"320080 Baixo Guandu";16
"320090 Barra de São Francisco";16
"320100 Boa Esperança";7
"320110 Bom Jesus do Norte";11
"320115 Brejetuba";6
"320120 Cachoeiro de Itapemirim";175
"320130 Cariacica";218
"320140 Castelo";31
"320150 Colatina";34
"320160 Conceição da Barra";14
"320170 Conceição do Castelo";1
"320180 Divino de São Lourenço";1
"320190 Domingos Martins";17
"320200 Dores do Rio Preto";2
"320210 Ecoporanga";10
"320220 Fundão";14
"320225 Governador Lindenberg";2
"320230 Guaçuí";13
"320240 Guarapari";58
"320245 Ibatiba";21
"320250 Ibiraçu";1
"320255 Ibitirama";7
"320260 Iconha";17
"320265 Irupi";9
"320270 Itaguaçu";4
"320280 Itapemirim";31
"320290 Itarana";3
"320300 Iúna";14
"320305 Jaguaré";14
"320310 Jerônimo Monteiro";14
"320313 João Neiva";5
"320316 Laranja da Terra";3
"320320 Linhares";140
"320330 Mantenópolis";5
"320332 Marataízes";33
"320334 Marechal Floriano";7
"320335 Marilândia";2
"320340 Mimoso do Sul";10
"320350 Montanha";5
"320360 Mucurici";2
"320370 Muniz Freire";13
"320380 Muqui";8
"320390 Nova Venécia";18
"320400 Pancas";4
"320405 Pedro Canário";8
"320410 Pinheiros";7
"320420 Piúma";6
"320425 Ponto Belo";3
"320430 Presidente Kennedy";18
"320435 Rio Bananal";3
"320440 Rio Novo do Sul";4
"320450 Santa Leopoldina";3
"320455 Santa Maria de Jetibá";19
"320460 Santa Teresa";7
"320465 São Domingos do Norte";2
"320470 São Gabriel da Palha";7
"320480 São José do Calçado";26
"320490 São Mateus";56
"320495 São Roque do Canaã";7
"320500 Serra";198
"320501 Sooretama";17
"320503 Vargem Alta";13
"320506 Venda Nova do Imigrante";5
"320510 Viana";39
"320515 Vila Pavão";1
"320517 Vila Valério";6
"320520 Vila Velha";179
"320530 Vitória";217
"330010 Angra dos Reis";44
"330015 Aperibé";21
"330020 Araruama";34
"330022 Areal";9
"330023 Armação dos Búzios";14
"330025 Arraial do Cabo";9
"330030 Barra do Piraí";100
"330040 Barra Mansa";92
"330045 Belford Roxo";115
"330050 Bom Jardim";15
"330060 Bom Jesus do Itabapoana";58
"330070 Cabo Frio";79
"330080 Cachoeiras de Macacu";31
"330090 Cambuci";6
"330100 Campos dos Goytacazes";201
"330110 Cantagalo";18
"330093 Carapebus";3
"330115 Cardoso Moreira";3
"330120 Carmo";6
"330130 Casimiro de Abreu";3
"330095 Comendador Levy Gasparian";10
"330140 Conceição de Macabu";4
"330150 Cordeiro";16
"330160 Duas Barras";8
"330170 Duque de Caxias";545
"330180 Engenheiro Paulo de Frontin";11
"330185 Guapimirim";18
"330187 Iguaba Grande";5
"330190 Itaboraí";61
"330200 Itaguaí";29
"330205 Italva";6
"330210 Itaocara";25
"330220 Itaperuna";38
"330225 Itatiaia";7
"330227 Japeri";28
"330230 Laje do Muriaé";8
"330240 Macaé";102
"330245 Macuco";5
"330250 Magé";70
"330260 Mangaratiba";18
"330270 Maricá";66
"330280 Mendes";7
"330285 Mesquita";24
"330290 Miguel Pereira";25
"330300 Miracema";26
"330310 Natividade";8
"330320 Nilópolis";29
"330330 Niterói";190
"330340 Nova Friburgo";63
"330350 Nova Iguaçu";307
"330360 Paracambi";19
"330370 Paraíba do Sul";66
"330380 Paraty";24
"330385 Paty do Alferes";39
"330390 Petrópolis";182
"330395 Pinheiral";7
"330400 Piraí";9
"330410 Porciúncula";6
"330411 Porto Real";13
"330412 Quatis";2
"330414 Queimados";42
"330415 Quissamã";8
"330420 Resende";63
"330430 Rio Bonito";45
"330440 Rio Claro";7
"330450 Rio das Flores";14
"330452 Rio das Ostras";27
"330455 Rio de Janeiro";1879
"330460 Santa Maria Madalena";5
"330470 Santo Antônio de Pádua";55
"330480 São Fidélis";41
"330475 São Francisco de Itabapoana";11
"330490 São Gonçalo";263
"330500 São João da Barra";19
"330510 São João de Meriti";106
"330513 São José de Ubá";1
"330515 São José do Vale do Rio Preto";7
"330520 São Pedro da Aldeia";14
"330530 São Sebastião do Alto";37
"330540 Sapucaia";7
"330550 Saquarema";52
"330555 Seropédica";9
"330560 Silva Jardim";4
"330570 Sumidouro";8
"330575 Tanguá";9
"330580 Teresópolis";79
"330590 Trajano de Moraes";8
"330600 Três Rios";74
"330610 Valença";119
"330615 Varre-Sai";2
"330620 Vassouras";83
"330630 Volta Redonda";116
"350010 Adamantina";17
"350020 Adolfo";14
"350030 Aguaí";18
"350040 Águas da Prata";2
"350050 Águas de Lindóia";22
"350060 Águas de São Pedro";3
"350070 Agudos";22
"350075 Alambari";1
"350100 Altinópolis";55
"350110 Alto Alegre";3
"350115 Alumínio";6
"350120 Álvares Florence";3
"350130 Álvares Machado";15
"350140 Álvaro de Carvalho";1
"350150 Alvinlândia";3
"350160 Americana";42
"350170 Américo Brasiliense";11
"350180 Américo de Campos";2
"350190 Amparo";23
"350200 Analândia";1
"350210 Andradina";33
"350220 Angatuba";9
"350240 Anhumas";3
"350250 Aparecida";8
"350260 Aparecida d'Oeste";1
"350270 Apiaí";9
"350275 Araçariguama";1
"350280 Araçatuba";80
"350290 Araçoiaba da Serra";9
"350300 Aramina";8
"350310 Arandu";4
"350315 Arapeí";1
"350320 Araraquara";38
"350330 Araras";24
"350335 Arco-Íris";5
"350340 Arealva";3
"350350 Areias";2
"350360 Areiópolis";4
"350370 Ariranha";6
"350380 Artur Nogueira";13
"350390 Arujá";43
"350395 Aspásia";2
"350400 Assis";37
"350410 Atibaia";41
"350420 Auriflama";6
"350430 Avaí";3
"350440 Avanhandava";8
"350450 Avaré";26
"350460 Bady Bassitt";24
"350480 Bálsamo";10
"350490 Bananal";1
"350500 Barão de Antonina";4
