"Município da residência";"2015";"2016";"2017";" Total"
"330310 NATIVIDADE                                                                                          ";"24";"13";"21";"58"
"330320 NILOPOLIS                                                                                           ";"109";"100";"105";"314"
"330330 NITEROI                                                                                             ";"421";"414";"504";"1339"
"330340 NOVA FRIBURGO                                                                                       ";"186";"159";"183";"528"
"330350 NOVA IGUACU                                                                                         ";"383";"430";"467";"1280"
"330360 PARACAMBI                                                                                           ";"51";"52";"52";"155"
"330370 PARAIBA DO SUL                                                                                      ";"29";"55";"41";"125"
"330380 PARATY                                                                                              ";"22";"16";"32";"70"
"330385 PATY DO ALFERES                                                                                     ";"28";"20";"33";"81"
"330390 PETROPOLIS                                                                                          ";"388";"418";"446";"1252"
"330395 PINHEIRAL                                                                                           ";"15";"36";"20";"71"
"330400 PIRAI                                                                                               ";"21";"20";"33";"74"
"330410 PORCIUNCULA                                                                                         ";"8";"25";"17";"50"
"330411 PORTO REAL                                                                                          ";"16";"8";"30";"54"
"330412 QUATIS                                                                                              ";"8";"19";"17";"44"
"330414 QUEIMADOS                                                                                           ";"79";"82";"84";"245"
"330415 QUISSAMA                                                                                            ";"14";"21";"29";"64"
"330420 RESENDE                                                                                             ";"84";"110";"112";"306"
"330430 RIO BONITO                                                                                          ";"65";"48";"84";"197"
"330440 RIO CLARO                                                                                           ";"19";"23";"23";"65"
"330450 RIO DAS FLORES                                                                                      ";"12";"10";"8";"30"
"330452 RIO DAS OSTRAS                                                                                      ";"71";"68";"60";"199"
"330455 RIO DE JANEIRO                                                                                      ";"4764";"4710";"4609";"14083"
"330460 SANTA MARIA MADALENA                                                                                ";"11";"13";"8";"32"
"330470 SANTO ANTONIO DE PADUA                                                                              ";"65";"56";"33";"154"
"330475 SAO FRANCISCO DE ITABAPOANA                                                                         ";"23";"28";"24";"75"
"330480 SAO FIDELIS                                                                                         ";"24";"23";"24";"71"
"330490 SAO GONCALO                                                                                         ";"677";"682";"748";"2107"
"330500 SAO JOAO DA BARRA                                                                                   ";"33";"28";"38";"99"
"330510 SAO JOAO DE MERITI                                                                                  ";"285";"256";"279";"820"
"330513 SAO JOSE DE UBA                                                                                     ";"8";"16";"11";"35"
"330515 SAO JOSE DO VALE DO RIO PRETO                                                                       ";"17";"14";"11";"42"
"330520 SAO PEDRO DA ALDEIA                                                                                 ";"67";"54";"41";"162"
"330530 SAO SEBASTIAO DO ALTO                                                                               ";"5";"5";"1";"11"
"330540 SAPUCAIA                                                                                            ";"16";"13";"13";"42"
"330550 SAQUAREMA                                                                                           ";"75";"44";"48";"167"
"330555 SEROPEDICA                                                                                          ";"30";"27";"28";"85"
"330560 SILVA JARDIM                                                                                        ";"17";"14";"15";"46"
"330570 SUMIDOURO                                                                                           ";"14";"13";"11";"38"
"330575 TANGUA                                                                                              ";"18";"19";"21";"58"
"330580 TERESOPOLIS                                                                                         ";"175";"188";"181";"544"
"330590 TRAJANO DE MORAES                                                                                   ";"2";"7";"3";"12"
"330600 TRES RIOS                                                                                           ";"70";"60";"73";"203"
"330610 VALENCA                                                                                             ";"57";"68";"83";"208"
"330615 VARRE-SAI                                                                                           ";"10";"11";"16";"37"
"330620 VASSOURAS                                                                                           ";"37";"51";"37";"125"
"330630 VOLTA REDONDA                                                                                       ";"305";"297";"285";"887"
"350010 ADAMANTINA                                                                                          ";"61";"57";"37";"155"
"350020 ADOLFO                                                                                              ";"8";"8";"7";"23"
"350030 AGUAI                                                                                               ";"50";"29";"13";"92"
"350040 AGUAS DA PRATA                                                                                      ";"8";"4";"11";"23"
"350050 AGUAS DE LINDOIA                                                                                    ";"32";"20";"21";"73"
"350055 AGUAS DE SANTA BARBARA                                                                              ";"2";"5";"8";"15"
"350060 AGUAS DE SAO PEDRO                                                                                  ";"9";"7";"2";"18"
"350070 AGUDOS                                                                                              ";"45";"40";"44";"129"
"350075 ALAMBARI                                                                                            ";"5";"2";"1";"8"
"350080 ALFREDO MARCONDES                                                                                   ";"3";"1";"6";"10"
"350090 ALTAIR                                                                                              ";"6";"4";"4";"14"
"350100 ALTINOPOLIS                                                                                         ";"24";"26";"22";"72"
"350110 ALTO ALEGRE                                                                                         ";"7";"10";"7";"24"
"350115 ALUMINIO                                                                                            ";"16";"20";"14";"50"
"350120 ALVARES FLORENCE                                                                                    ";"4";"10";"6";"20"
"350130 ALVARES MACHADO                                                                                     ";"33";"26";"29";"88"
"350140 ALVARO DE CARVALHO                                                                                  ";"0";"2";"2";"4"
"350150 ALVINLANDIA                                                                                         ";"5";"1";"4";"10"
"350160 AMERICANA                                                                                           ";"179";"206";"171";"556"
"350170 AMERICO BRASILIENSE                                                                                 ";"21";"42";"20";"83"
"350180 AMERICO DE CAMPOS                                                                                   ";"11";"11";"17";"39"
"350190 AMPARO                                                                                              ";"80";"60";"70";"210"
"350200 ANALANDIA                                                                                           ";"6";"4";"2";"12"
"350210 ANDRADINA                                                                                           ";"92";"84";"79";"255"
"350220 ANGATUBA                                                                                            ";"22";"17";"13";"52"
"350230 ANHEMBI                                                                                             ";"6";"7";"11";"24"
"350240 ANHUMAS                                                                                             ";"5";"4";"4";"13"
"350250 APARECIDA                                                                                           ";"25";"32";"26";"83"
"350260 APARECIDA D\'OESTE                                                                                   ";"10";"7";"11";"28"
"350270 APIAI                                                                                               ";"10";"6";"10";"26"
"350275 ARACARIGUAMA                                                                                        ";"10";"14";"14";"38"
"350280 ARACATUBA                                                                                           ";"286";"293";"252";"831"
"350290 ARACOIABA DA SERRA                                                                                  ";"27";"14";"27";"68"
"350300 ARAMINA                                                                                             ";"8";"10";"14";"32"
"350310 ARANDU                                                                                              ";"9";"7";"6";"22"
"350315 ARAPEI                                                                                              ";"5";"2";"1";"8"
"350320 ARARAQUARA                                                                                          ";"235";"249";"232";"716"
"350330 ARARAS                                                                                              ";"146";"135";"144";"425"
"350335 ARCO-IRIS                                                                                           ";"2";"1";"3";"6"
"350340 AREALVA                                                                                             ";"20";"11";"9";"40"
"350350 AREIAS                                                                                              ";"5";"1";"0";"6"
"350360 AREIOPOLIS                                                                                          ";"13";"7";"3";"23"
"350370 ARIRANHA                                                                                            ";"14";"11";"12";"37"
"350380 ARTUR NOGUEIRA                                                                                      ";"22";"32";"34";"88"
"350390 ARUJA                                                                                               ";"45";"56";"52";"153"
"350395 ASPASIA                                                                                             ";"1";"4";"2";"7"
"350400 ASSIS                                                                                               ";"125";"146";"100";"371"
"350410 ATIBAIA                                                                                             ";"101";"113";"123";"337"
"350420 AURIFLAMA                                                                                           ";"18";"13";"17";"48"
"350430 AVAI                                                                                                ";"6";"12";"9";"27"
"350440 AVANHANDAVA                                                                                         ";"8";"11";"12";"31"
"350450 AVARE                                                                                               ";"125";"117";"118";"360"
"350460 BADY BASSITT                                                                                        ";"20";"18";"30";"68"
"350470 BALBINOS                                                                                            ";"3";"3";"5";"11"
"350480 BALSAMO                                                                                             ";"9";"10";"13";"32"
"350490 BANANAL                                                                                             ";"4";"6";"3";"13"
"350500 BARAO DE ANTONINA                                                                                   ";"4";"3";"0";"7"
"350510 BARBOSA                                                                                             ";"10";"5";"7";"22"
"350520 BARIRI                                                                                              ";"48";"50";"34";"132"
"350530 BARRA BONITA                                                                                        ";"64";"46";"59";"169"
"350535 BARRA DO CHAPEU                                                                                     ";"3";"3";"3";"9"
"350540 BARRA DO TURVO                                                                                      ";"12";"2";"3";"17"
"350550 BARRETOS                                                                                            ";"362";"301";"318";"981"
"350560 BARRINHA                                                                                            ";"24";"22";"26";"72"
"350570 BARUERI                                                                                             ";"225";"206";"203";"634"
"350580 BASTOS                                                                                              ";"35";"26";"34";"95"
"350590 BATATAIS                                                                                            ";"85";"88";"72";"245"
"350600 BAURU                                                                                               ";"503";"363";"390";"1256"
"350610 BEBEDOURO                                                                                           ";"111";"84";"107";"302"
"350620 BENTO DE ABREU                                                                                      ";"4";"2";"9";"15"
"350630 BERNARDINO DE CAMPOS                                                                                ";"9";"10";"12";"31"
"350635 BERTIOGA                                                                                            ";"33";"25";"22";"80"
"350640 BILAC                                                                                               ";"19";"24";"17";"60"
"350650 BIRIGUI                                                                                             ";"180";"192";"198";"570"
"350660 BIRITIBA-MIRIM                                                                                      ";"19";"31";"27";"77"
"350670 BOA ESPERANCA DO SUL                                                                                ";"15";"10";"15";"40"
"350680 BOCAINA                                                                                             ";"15";"13";"20";"48"
"350690 BOFETE                                                                                              ";"19";"15";"11";"45"
"350700 BOITUVA                                                                                             ";"58";"31";"50";"139"
"350710 BOM JESUS DOS PERDOES                                                                               ";"16";"13";"12";"41"
"350715 BOM SUCESSO DE ITARARE                                                                              ";"1";"4";"0";"5"
"350720 BORA                                                                                                ";"0";"2";"0";"2"
"350730 BORACEIA                                                                                            ";"5";"8";"7";"20"
"350740 BORBOREMA                                                                                           ";"17";"21";"24";"62"
"350745 BOREBI                                                                                              ";"4";"2";"4";"10"
"350750 BOTUCATU                                                                                            ";"237";"216";"243";"696"
"350760 BRAGANCA PAULISTA                                                                                   ";"166";"194";"131";"491"
"350770 BRAUNA                                                                                              ";"5";"8";"8";"21"
"350775 BREJO ALEGRE                                                                                        ";"5";"6";"5";"16"
"350780 BRODOWSKI                                                                                           ";"14";"39";"20";"73"
"350790 BROTAS                                                                                              ";"28";"30";"24";"82"
"350800 BURI                                                                                                ";"17";"16";"13";"46"
"350810 BURITAMA                                                                                            ";"18";"23";"32";"73"
"350820 BURITIZAL                                                                                           ";"11";"7";"3";"21"
"350830 CABRALIA PAULISTA                                                                                   ";"3";"4";"5";"12"
"350840 CABREUVA                                                                                            ";"37";"36";"24";"97"
"350850 CACAPAVA                                                                                            ";"49";"68";"62";"179"
"350860 CACHOEIRA PAULISTA                                                                                  ";"21";"29";"33";"83"
"350870 CACONDE                                                                                             ";"22";"20";"16";"58"
"350880 CAFELANDIA                                                                                          ";"23";"15";"30";"68"
"350890 CAIABU                                                                                              ";"3";"3";"7";"13"
"350900 CAIEIRAS                                                                                            ";"38";"52";"42";"132"
"350910 CAIUA                                                                                               ";"2";"11";"7";"20"
"350920 CAJAMAR                                                                                             ";"30";"30";"26";"86"
"350925 CAJATI                                                                                              ";"21";"23";"30";"74"
"350930 CAJOBI                                                                                              ";"15";"22";"13";"50"
"350940 CAJURU                                                                                              ";"33";"23";"27";"83"
"350945 CAMPINA DO MONTE ALEGRE                                                                             ";"9";"5";"5";"19"
"350950 CAMPINAS                                                                                            ";"638";"758";"816";"2212"
"350960 CAMPO LIMPO PAULISTA                                                                                ";"64";"91";"51";"206"
"350970 CAMPOS DO JORDAO                                                                                    ";"28";"32";"35";"95"
"350980 CAMPOS NOVOS PAULISTA                                                                               ";"3";"4";"8";"15"
"350990 CANANEIA                                                                                            ";"17";"17";"11";"45"
"350995 CANAS                                                                                               ";"8";"4";"0";"12"
"351000 CANDIDO MOTA                                                                                        ";"39";"43";"40";"122"
"351010 CANDIDO RODRIGUES                                                                                   ";"1";"0";"3";"4"
"351015 CANITAR                                                                                             ";"5";"3";"4";"12"
"351020 CAPAO BONITO                                                                                        ";"46";"48";"57";"151"
"351030 CAPELA DO ALTO                                                                                      ";"19";"10";"16";"45"
"351040 CAPIVARI                                                                                            ";"65";"56";"45";"166"
"351050 CARAGUATATUBA                                                                                       ";"93";"85";"91";"269"
"351060 CARAPICUIBA                                                                                         ";"249";"204";"265";"718"
"351070 CARDOSO                                                                                             ";"17";"24";"23";"64"
"351080 CASA BRANCA                                                                                         ";"38";"34";"26";"98"
"351090 CASSIA DOS COQUEIROS                                                                                ";"5";"1";"1";"7"
"351100 CASTILHO                                                                                            ";"32";"38";"30";"100"
"351110 CATANDUVA                                                                                           ";"172";"171";"150";"493"
"351120 CATIGUA                                                                                             ";"7";"7";"6";"20"
"351130 CEDRAL                                                                                              ";"13";"4";"17";"34"
"351140 CERQUEIRA CESAR                                                                                     ";"28";"25";"43";"96"
"351150 CERQUILHO                                                                                           ";"38";"31";"29";"98"
"351160 CESARIO LANGE                                                                                       ";"25";"15";"16";"56"
"351170 CHARQUEADA                                                                                          ";"13";"11";"12";"36"
"351190 CLEMENTINA                                                                                          ";"16";"4";"10";"30"
"351200 COLINA                                                                                              ";"32";"22";"38";"92"
"351210 COLOMBIA                                                                                            ";"7";"9";"11";"27"
"351220 CONCHAL                                                                                             ";"37";"31";"26";"94"
"351230 CONCHAS                                                                                             ";"17";"24";"22";"63"
"351240 CORDEIROPOLIS                                                                                       ";"20";"22";"16";"58"
"351250 COROADOS                                                                                            ";"8";"6";"10";"24"
"351260 CORONEL MACEDO                                                                                      ";"4";"4";"0";"8"
"351270 CORUMBATAI                                                                                          ";"10";"3";"6";"19"
"351280 COSMOPOLIS                                                                                          ";"52";"44";"54";"150"
"351290 COSMORAMA                                                                                           ";"12";"16";"9";"37"
"351300 COTIA                                                                                               ";"155";"162";"166";"483"
"351310 CRAVINHOS                                                                                           ";"28";"52";"37";"117"
"351320 CRISTAIS PAULISTA                                                                                   ";"10";"5";"9";"24"
"351330 CRUZALIA                                                                                            ";"2";"2";"3";"7"
"351340 CRUZEIRO                                                                                            ";"67";"59";"78";"204"
"351350 CUBATAO                                                                                             ";"53";"60";"55";"168"
"351360 CUNHA                                                                                               ";"18";"18";"14";"50"
"351370 DESCALVADO                                                                                          ";"35";"38";"43";"116"
"351380 DIADEMA                                                                                             ";"256";"217";"194";"667"
"351385 DIRCE REIS                                                                                          ";"3";"9";"4";"16"
"351390 DIVINOLANDIA                                                                                        ";"18";"15";"14";"47"
"351400 DOBRADA                                                                                             ";"10";"6";"3";"19"
"351410 DOIS CORREGOS                                                                                       ";"35";"23";"31";"89"
"351420 DOLCINOPOLIS                                                                                        ";"2";"6";"6";"14"
"351430 DOURADO                                                                                             ";"14";"14";"9";"37"
"351440 DRACENA                                                                                             ";"65";"54";"55";"174"
"351450 DUARTINA                                                                                            ";"17";"17";"18";"52"
"351460 DUMONT                                                                                              ";"10";"9";"9";"28"
"351470 ECHAPORA                                                                                            ";"11";"13";"10";"34"
"351480 ELDORADO                                                                                            ";"12";"17";"16";"45"
"351490 ELIAS FAUSTO                                                                                        ";"11";"12";"20";"43"
"351492 ELISIARIO                                                                                           ";"3";"4";"8";"15"
"351495 EMBAUBA                                                                                             ";"4";"4";"5";"13"
"351500 EMBU DAS ARTES                                                                                      ";"170";"172";"174";"516"
"351510 EMBU-GUACU                                                                                          ";"33";"34";"31";"98"
"351512 EMILIANOPOLIS                                                                                       ";"5";"4";"7";"16"
"351515 ENGENHEIRO COELHO                                                                                   ";"9";"15";"13";"37"
"351518 ESPIRITO SANTO DO PINHAL                                                                            ";"34";"35";"23";"92"
"351519 ESPIRITO SANTO DO TURVO                                                                             ";"1";"6";"4";"11"
"351520 ESTRELA D\'OESTE                                                                                     ";"12";"11";"16";"39"
"351530 ESTRELA DO NORTE                                                                                    ";"1";"2";"2";"5"
"351535 EUCLIDES DA CUNHA PAULISTA                                                                          ";"8";"7";"8";"23"
"351540 FARTURA                                                                                             ";"26";"19";"21";"66"
"351550 FERNANDOPOLIS                                                                                       ";"134";"116";"106";"356"
"351560 FERNANDO PRESTES                                                                                    ";"4";"7";"8";"19"
"351565 FERNAO                                                                                              ";"1";"1";"0";"2"
"351570 FERRAZ DE VASCONCELOS                                                                               ";"70";"116";"94";"280"
"351580 FLORA RICA                                                                                          ";"0";"1";"2";"3"
"351590 FLOREAL                                                                                             ";"8";"7";"6";"21"
"351600 FLORIDA PAULISTA                                                                                    ";"20";"10";"16";"46"
"351610 FLORINIA                                                                                            ";"4";"7";"2";"13"
"351620 FRANCA                                                                                              ";"370";"365";"416";"1151"
"351630 FRANCISCO MORATO                                                                                    ";"75";"80";"72";"227"
"351640 FRANCO DA ROCHA                                                                                     ";"74";"69";"82";"225"
"351650 GABRIEL MONTEIRO                                                                                    ";"3";"11";"6";"20"
"351660 GALIA                                                                                               ";"8";"12";"6";"26"
"351670 GARCA                                                                                               ";"59";"72";"50";"181"
"351680 GASTAO VIDIGAL                                                                                      ";"4";"5";"3";"12"
"351685 GAVIAO PEIXOTO                                                                                      ";"1";"2";"2";"5"
"351690 GENERAL SALGADO                                                                                     ";"19";"16";"12";"47"
"351700 GETULINA                                                                                            ";"12";"16";"12";"40"
"351710 GLICERIO                                                                                            ";"7";"8";"6";"21"
"351720 GUAICARA                                                                                            ";"13";"5";"15";"33"
"351730 GUAIMBE                                                                                             ";"9";"2";"8";"19"
"351740 GUAIRA                                                                                              ";"56";"55";"66";"177"
"351750 GUAPIACU                                                                                            ";"27";"24";"22";"73"
"351760 GUAPIARA                                                                                            ";"15";"10";"13";"38"
"351770 GUARA                                                                                               ";"20";"20";"30";"70"
"351780 GUARACAI                                                                                            ";"26";"18";"10";"54"
"351790 GUARACI                                                                                             ";"12";"9";"5";"26"
"351800 GUARANI D\'OESTE                                                                                     ";"3";"3";"1";"7"
"351810 GUARANTA                                                                                            ";"10";"2";"9";"21"
"351820 GUARARAPES                                                                                          ";"43";"54";"62";"159"
"351830 GUARAREMA                                                                                           ";"16";"23";"27";"66"
"351840 GUARATINGUETA                                                                                       ";"143";"119";"113";"375"
"351850 GUAREI                                                                                              ";"17";"14";"9";"40"
"351860 GUARIBA                                                                                             ";"22";"34";"32";"88"
"351870 GUARUJA                                                                                             ";"164";"171";"185";"520"
"351880 GUARULHOS                                                                                           ";"698";"640";"567";"1905"
"351885 GUATAPARA                                                                                           ";"7";"6";"8";"21"
"351890 GUZOLANDIA                                                                                          ";"9";"5";"8";"22"
"351900 HERCULANDIA                                                                                         ";"11";"9";"9";"29"
"351905 HOLAMBRA                                                                                            ";"9";"11";"9";"29"
"351907 HORTOLANDIA                                                                                         ";"139";"167";"208";"514"
"351910 IACANGA                                                                                             ";"17";"12";"11";"40"
"351920 IACRI                                                                                               ";"11";"8";"9";"28"
"351925 IARAS                                                                                               ";"4";"9";"3";"16"
"351930 IBATE                                                                                               ";"25";"16";"26";"67"
"351940 IBIRA                                                                                               ";"20";"22";"24";"66"
"351950 IBIRAREMA                                                                                           ";"11";"4";"10";"25"
"351960 IBITINGA                                                                                            ";"79";"79";"60";"218"
"351970 IBIUNA                                                                                              ";"65";"39";"51";"155"
"351980 ICEM                                                                                                ";"7";"12";"6";"25"
"351990 IEPE                                                                                                ";"8";"8";"8";"24"
"352000 IGARACU DO TIETE                                                                                    ";"28";"29";"21";"78"
"352010 IGARAPAVA                                                                                           ";"31";"24";"31";"86"
"352020 IGARATA                                                                                             ";"9";"3";"9";"21"
"352030 IGUAPE                                                                                              ";"32";"15";"26";"73"
"352040 ILHABELA                                                                                            ";"17";"19";"27";"63"
"352042 ILHA COMPRIDA                                                                                       ";"19";"20";"7";"46"
"352044 ILHA SOLTEIRA                                                                                       ";"23";"24";"45";"92"
"352050 INDAIATUBA                                                                                          ";"171";"182";"171";"524"
"352060 INDIANA                                                                                             ";"3";"6";"9";"18"
"352070 INDIAPORA                                                                                           ";"5";"1";"8";"14"
"352080 INUBIA PAULISTA                                                                                     ";"4";"4";"6";"14"
"352090 IPAUSSU                                                                                             ";"18";"20";"17";"55"
"352100 IPERO                                                                                               ";"17";"18";"14";"49"
"352110 IPEUNA                                                                                              ";"4";"5";"8";"17"
"352115 IPIGUA                                                                                              ";"4";"11";"10";"25"
"352120 IPORANGA                                                                                            ";"4";"3";"3";"10"
"352130 IPUA                                                                                                ";"17";"26";"22";"65"
"352140 IRACEMAPOLIS                                                                                        ";"17";"23";"13";"53"
"352150 IRAPUA                                                                                              ";"9";"8";"11";"28"
"352160 IRAPURU                                                                                             ";"12";"13";"10";"35"
"352170 ITABERA                                                                                             ";"15";"11";"10";"36"
"352180 ITAI                                                                                                ";"27";"31";"18";"76"
"352190 ITAJOBI                                                                                             ";"30";"37";"28";"95"
"352200 ITAJU                                                                                               ";"9";"6";"7";"22"
"352210 ITANHAEM                                                                                            ";"73";"67";"72";"212"
"352215 ITAOCA                                                                                              ";"3";"1";"2";"6"
"352220 ITAPECERICA DA SERRA                                                                                ";"131";"115";"115";"361"
"352230 ITAPETININGA                                                                                        ";"135";"98";"114";"347"
"352240 ITAPEVA                                                                                             ";"77";"61";"79";"217"
"352250 ITAPEVI                                                                                             ";"132";"126";"144";"402"
"352260 ITAPIRA                                                                                             ";"85";"103";"92";"280"
"352265 ITAPIRAPUA PAULISTA                                                                                 ";"2";"0";"0";"2"
"352270 ITAPOLIS                                                                                            ";"41";"41";"46";"128"
"352280 ITAPORANGA                                                                                          ";"23";"22";"9";"54"
"352290 ITAPUI                                                                                              ";"13";"10";"22";"45"
"352300 ITAPURA                                                                                             ";"4";"6";"7";"17"
"352310 ITAQUAQUECETUBA                                                                                     ";"158";"176";"147";"481"
"352320 ITARARE                                                                                             ";"49";"49";"66";"164"
"352330 ITARIRI                                                                                             ";"12";"11";"18";"41"
"352340 ITATIBA                                                                                             ";"106";"149";"110";"365"
"352350 ITATINGA                                                                                            ";"16";"25";"21";"62"
"352360 ITIRAPINA                                                                                           ";"16";"13";"16";"45"
"352370 ITIRAPUA                                                                                            ";"2";"9";"12";"23"
"352380 ITOBI                                                                                               ";"11";"10";"10";"31"
"352390 ITU                                                                                                 ";"136";"105";"89";"330"
"352400 ITUPEVA                                                                                             ";"22";"40";"33";"95"
"352410 ITUVERAVA                                                                                           ";"54";"46";"48";"148"
"352420 JABORANDI                                                                                           ";"10";"7";"10";"27"
"352430 JABOTICABAL                                                                                         ";"75";"78";"77";"230"
"352440 JACAREI                                                                                             ";"197";"81";"184";"462"
"352450 JACI                                                                                                ";"5";"6";"1";"12"
"352460 JACUPIRANGA                                                                                         ";"19";"17";"11";"47"
"352470 JAGUARIUNA                                                                                          ";"43";"54";"50";"147"
"352480 JALES                                                                                               ";"113";"102";"116";"331"
"352490 JAMBEIRO                                                                                            ";"2";"0";"2";"4"
"352500 JANDIRA                                                                                             ";"60";"63";"70";"193"
"352510 JARDINOPOLIS                                                                                        ";"55";"36";"55";"146"
"352520 JARINU                                                                                              ";"29";"33";"30";"92"
"352530 JAU                                                                                                 ";"219";"219";"207";"645"
"352540 JERIQUARA                                                                                           ";"1";"2";"7";"10"
"352550 JOANOPOLIS                                                                                          ";"6";"7";"10";"23"
"352560 JOAO RAMALHO                                                                                        ";"2";"7";"2";"11"
"352570 JOSE BONIFACIO                                                                                      ";"40";"43";"56";"139"
"352580 JULIO MESQUITA                                                                                      ";"3";"8";"3";"14"
"352585 JUMIRIM                                                                                             ";"3";"0";"1";"4"
"352590 JUNDIAI                                                                                             ";"440";"438";"515";"1393"
"352600 JUNQUEIROPOLIS                                                                                      ";"23";"36";"21";"80"
"352610 JUQUIA                                                                                              ";"16";"16";"15";"47"
"352620 JUQUITIBA                                                                                           ";"21";"19";"23";"63"
"352630 LAGOINHA                                                                                            ";"4";"4";"4";"12"
"352640 LARANJAL PAULISTA                                                                                   ";"35";"42";"29";"106"
"352650 LAVINIA                                                                                             ";"7";"8";"3";"18"
