,CID10,Count,DESCR
2355,Z768,211,Z76.8 Cont serv saude p/outr circunstancias espec
2356,N758,211,N75.8 Outr doenc da gland de Bartholin
2357,D578,210,D57.8 Outr transt falciformes
2358,L929,210,L92.9 Afecc granulomatosas pele tec subcutaneo NE
2359,M864,210,M86.4 Osteomielite cronica c/seio drenante
2360,O320,210,O32.0 Assist prest mae p/posicao fetal instavel
2361,A150,210,A15.0 Tuberc pulm c/conf p/ex micr expec c/s/cult
2362,N86,210,N86   Erosao e ectropio do colo do utero
2363,B023,208,B02.3 Herpes zoster oftalmico
2364,A64,208,A64   Doenc sexualmente transm NE
2365,K720,208,K72.0 Insuf hepatica aguda e subaguda
2366,J931,207,J93.1 Outr form de pneumotorax espontaneo
2367,N500,207,N50.0 Atrofia do testiculo
2368,O109,207,O10.9 Hipertens pre-exist NE compl grav parto puer
2369,M464,206,M46.4 Discite NE
2370,C720,206,C72.0 Medula espinhal
2371,T112,206,T11.2 Lux entor dist artic lig NE membr sup niv NE
2372,S321,206,S32.1 Frat do sacro
2373,S462,205,S46.2 Traum do musculo e tendao outr partes biceps
2374,F730,205,F73.0 Mencao ausencia de ou compr minimo comport
2375,J050,205,J05.0 Laringite obstrutiva aguda
2376,Q212,205,Q21.2 Comunicacao atrioventricular
2377,D801,204,D80.1 Hipogamaglobulinemia nao familiar
2378,R72,204,R72   Anormalidade dos leucocitos NCOP
2379,L608,203,L60.8 Outr afeccoes das unhas
2380,K140,203,K14.0 Glossite
2381,I738,203,I73.8 Outr doenc vasculares perifericas espec
2382,F24,202,F24   Transt delirante induz
2383,D473,202,D47.3 Trombocitemia essencial
2384,H185,202,H18.5 Distrofias hereditarias da cornea
2385,F818,202,F81.8 Outr transt do desenvolv habilidade escolar
2386,F068,202,F06.8 Out trans ment esp dev les disf cer doen fis
2387,N764,202,N76.4 Abscesso vulvar
2388,S314,202,S31.4 Ferim da vagina e da vulva
2389,N831,202,N83.1 Cisto do corpo luteo
2390,Z308,201,Z30.8 Outr proced anticoncepcional
2391,S668,201,S66.8 Traum outr musc tendoes nivel punho e mao
2392,S208,201,S20.8 Traum superf de outr partes espec torax e NE
2393,O089,201,O08.9 Complic conseq aborto grav ectopica molar NE
2394,C675,201,C67.5 Colo da bexiga
2395,D134,201,D13.4 Figado
2396,H839,201,H83.9 Transt NE do ouvido interno
2397,M471,201,M47.1 Outr espondiloses c/mielopatia
2398,D166,200,D16.6 Coluna vertebral
2399,E232,200,E23.2 Diabetes insipido
2400,S410,200,S41.0 Ferim do ombro
2401,S337,200,S33.7 Entorse distens out part NE col lombar pelve
2402,G64,200,G64   Outr transt do sist nervoso periferico
2403,T010,200,T01.0 Ferim envolv a cabeca c/o pescoco
2404,T887,200,T88.7 Efeito adverso NE de droga ou medicamento
2405,K102,199,K10.2 Afeccoes inflam dos maxilares
2406,C482,199,C48.2 Peritonio
2407,E018,199,E01.8 Outr transt tireoid afecc assoc rel def iodo
2408,S709,199,S70.9 Traum superf NE do quadril e da coxa
2409,S998,199,S99.8 Outr traum espec do tornozelo e do pe
2410,S662,198,S66.2 Traum musc extens tend polegar niv punho mao
2411,L290,198,L29.0 Prurido anal
2412,H210,198,H21.0 Hifema
2413,O624,198,O62.4 Contrac uterinas hiperton incoord ou prolong
2414,B441,198,B44.1 Outr aspergiloses pulmonares
2415,L990,198,L99.0 Amiloidose cutanea
2416,F841,198,F84.1 Autismo atipico
2417,G09,198,G09   Sequelas doenc inflam sist nerv centr
2418,D212,198,D21.2 Tec conj e out tec moles membr inf incl quad
2419,G570,198,G57.0 Lesao do nervo ciatico
2420,H430,198,H43.0 Prolapso do humor vitreo
2421,M688,198,M68.8 Outr transt sinovias e tendoes em doenc COP
2422,A060,198,A06.0 Disenteria amebiana aguda
2423,R260,197,R26.0 Marcha ataxica
2424,Q234,197,Q23.4 Sindr do coracao esquerdo hipoplasico
2425,D103,197,D10.3 Outr partes da boca e as NE
2426,I493,197,I49.3 Despolarizacao ventricular prematura
2427,D610,197,D61.0 Anemia aplastica constitucional
2428,B360,197,B36.0 Pitiriase versicolor
2429,O628,197,O62.8 Outr anormalidades da contracao uterina
2430,O020,196,O02.0 Ovo claro e mola nao-hidatiforme
2431,G578,196,G57.8 Outr mononeuropatias dos membros infer
2432,J398,196,J39.8 Outr doenc espec das vias aereas super
2433,T782,196,T78.2 Choque anafilatico NE
2434,W080,196,W08.0 Residencia
2435,R762,195,R76.2 Exame sorologico falso positivo p/sifilis
2436,A86,195,A86   Encefalite viral NE
2437,O990,195,O99.0 Anemia complic gravidez parto puerperio
2438,A870,195,A87.0 Meningite p/enterovirus
2439,T833,194,T83.3 Complic mecanica de disp intra-uterino
2440,K115,194,K11.5 Sialolitiase
2441,T939,194,T93.9 Sequelas de traum NE do membro infer
2442,N351,194,N35.1 Estenose uretral pos-infecc NCOP
2443,G121,194,G12.1 Outr atrofias musculares espinais hereditar
2444,C140,194,C14.0 Faringe NE
2445,O366,193,O36.6 Assist prestada a mae p/cresc fetal excess
2446,J323,193,J32.3 Sinusite esfenoidal cronica
2447,H439,193,H43.9 Transt NE do humor vitreo
2448,H170,193,H17.0 Leucoma aderente
2449,G373,193,G37.3 Mielit trans agud doen desmiel sis nerv cent
2450,R066,193,R06.6 Soluco
2451,C383,193,C38.3 Mediastino porcao NE
2452,H82,193,H82   Sindr vertiginosas em doenc COP
2453,C850,192,C85.0 Linfossarcoma
2454,S902,192,S90.2 Contusao de artelho c/lesao da unha
2455,E835,191,E83.5 Disturbios do metabolismo do calcio
2456,I634,191,I63.4 Infarto cerebral dev embolia arterias cerebr
2457,N499,191,N49.9 Transt inflam de orgao genital masc NE
2458,M710,191,M71.0 Abscesso de bolsa sinovial
2459,A379,191,A37.9 Coqueluche NE
2460,D371,191,D37.1 Estomago
2461,H162,190,H16.2 Ceratoconjuntivite
2462,S907,190,S90.7 Traum superf mult do tornozelo e do pe
2463,F239,189,F23.9 Transt psicotico agudo e transitorio NE
2464,N040,189,N04.0 Anormalidade glomerular minor
2465,C717,189,C71.7 Tronco cerebral
2466,B432,189,B43.2 Abscesso e cisto feomicotico subcutaneos
2467,Z932,189,Z93.2 Ileostomia
2468,N911,189,N91.1 Amenorreia secund
2469,M600,189,M60.0 Miosite infecc
2470,S808,189,S80.8 Outr traum superf da perna
2471,D380,189,D38.0 Laringe
2472,M998,189,M99.8 Outr lesoes biomecanicas
2473,A415,188,A41.5 Septicemia p/outr microorg gram-negativos
2474,K919,188,K91.9 Transt do aparelho digestivo pos proced
2475,M818,188,M81.8 Outr osteoporoses
2476,G10,188,G10   Doenc de Huntington
2477,K593,188,K59.3 Megacolon NCOP
2478,F522,188,F52.2 Falha de resposta genital
2479,I891,188,I89.1 Linfangite
2480,E221,187,E22.1 Hiperprolactinemia
2481,R200,187,R20.0 Anestesia cutanea
2482,N944,187,N94.4 Dismenorreia prim
2483,Z504,187,Z50.4 Psicoterapia NCOP
2484,B340,187,B34.0 Infecc p/adenovirus NE
2485,C838,187,C83.8 Outr tipos de linfoma nao-Hodgkin difuso
2486,D122,186,D12.2 Colon ascendente
2487,Z510,186,Z51.0 Sessao de radioterapia
2488,M503,186,M50.3 Outr degeneracao de disco cervical
2489,D160,185,D16.0 Omoplata e ossos longos dos membros super
2490,D012,185,D01.2 Reto
2491,E052,185,E05.2 Tireotoxicose c/bocio toxico multinodular
2492,K090,185,K09.0 Cistos odontogenicos de desenvolv
2493,S270,184,S27.0 Pneumotorax traum
2494,S670,184,S67.0 Lesao p/esmag do polegar e de outr dedos
2495,Y125,184,Y12.5 Areas de comercio e de servicos
2496,N318,184,N31.8 Outr disfuncao neuromuscular da bexiga
2497,O053,184,O05.3 Incompleto c/outr complic ou c/complic NE
2498,L282,184,L28.2 Outr form de prurigo
2499,I358,184,I35.8 Outr transt da valva aortica
2500,B354,183,B35.4 Tinha do corpo
2501,A881,183,A88.1 Vertigem epidemica
2502,H739,183,H73.9 Transt NE da membrana do timpano
2503,Z452,183,Z45.2 Ajustamento e manuseio disp acesso vascular
2504,T859,183,T85.9 Complic NE outr disp prot impl enx internos
2505,T849,182,T84.9 Complic NE disp protetico impl enx ortop int
2506,M248,182,M24.8 Outr transt articulares especificos NCOP
2507,T758,182,T75.8 Outr efeitos espec de causas externas
2508,K515,182,K51.5 Proctocolite mucosa
2509,G129,182,G12.9 Atrofia muscular espinal NE
2510,Z803,182,Z80.3 Historia familiar de neoplasia de mama
2511,I713,182,I71.3 Aneurisma da aorta abdominal roto
2512,D462,182,D46.2 Anemia refrataria c/excesso de blastos
2513,K073,182,K07.3 Anomalias da posicao dos dentes
2514,I359,181,I35.9 Transt NE da valva aortica
2515,I744,181,I74.4 Embolia e trombose de arterias membros NE
2516,H159,181,H15.9 Transt NE da esclerotica
2517,J380,181,J38.0 Paralisia das cordas vocais e da laringe
2518,Z752,181,Z75.2 Outr periodo de espera p/invest e tratamento
2519,D470,181,D47.0 Tum comp inc/desc mastocit celulas histiocit
2520,S023,181,S02.3 Frat do assoalho orbital
2521,O691,180,O69.1 Trab part part compl circul cordao c/compres
2522,Q825,180,Q82.5 Nevo nao-neoplasico congen
2523,S434,180,S43.4 Entorse e distensao de articulacao do ombro
2524,W100,180,W10.0 Residencia
2525,D267,180,D26.7 Outr partes do utero
2526,F001,180,F00.1 Demencia doenc Alzheimer inicio tard
2527,S899,180,S89.9 Traum NE da perna
2528,F070,179,F07.0 Transt organico da personalidade
2529,N738,179,N73.8 Outr doenc inflam espec pelve fem
2530,N972,179,N97.2 Infertilidade femin orig uterina
2531,K412,179,K41.2 Hernia femoral bilateral s/obstr ou gangrena
2532,R402,179,R40.2 Coma NE
2533,F791,179,F79.1 Compr signif comport req vigilancia ou trat
2534,J120,179,J12.0 Pneumonia dev adenovirus
2535,I253,179,I25.3 Aneurisma cardiaco
2536,I514,179,I51.4 Miocardite NE
2537,Z761,178,Z76.1 Superv cuid saude de criancas assistidas
2538,H332,178,H33.2 Descolamento seroso da retina
2539,Z549,178,Z54.9 Convalescenca apos tratamento NE
2540,C099,178,C09.9 Amigdala NE
2541,M138,178,M13.8 Outr artrites espec
2542,A079,178,A07.9 Doenc intestinal NE p/protozoarios
2543,Z412,178,Z41.2 Circuncisao ritual e de rotina
2544,K611,177,K61.1 Abscesso retal
2545,I870,177,I87.0 Sindr pos-flebite
2546,G114,177,G11.4 Paraplegia espastica hereditaria
2547,C741,177,C74.1 Medula da supra-renal
2548,O909,177,O90.9 Complic do puerperio NE
2549,B200,177,B20.0 Doenc p/HIV result em infecc micobacterianas
2550,K314,177,K31.4 Diverticulo gastrico
2551,K913,177,K91.3 Obstrucao intestinal pos-operatoria
2552,R413,176,R41.3 Outr amnesia
2553,S427,176,S42.7 Frat mult da clavicula da omoplata e umero
2554,O813,176,O81.3 Outr tipos de parto p/forceps e os NE
2555,E142,176,E14.2 C/compl renais
2556,K710,176,K71.0 Doenc hepatica toxica c/colestase
2557,Q309,176,Q30.9 Malformacao congen NE do nariz
2558,P559,175,P55.9 Doenc hemolitica NE do feto e recem-nascido
2559,H022,175,H02.2 Lagoftalmo
2560,H502,175,H50.2 Estrabismo vertical
2561,M848,175,M84.8 Outr transt da continuidade do osso
2562,D164,175,D16.4 Ossos do cranio e da face
2563,K910,174,K91.0 Vomitos pos-cirurgia gastrointestinal
2564,O231,174,O23.1 Infecc da bexiga na gravidez
2565,H533,174,H53.3 Outr transt da visao binocular
2566,D040,174,D04.0 Pele do labio
2567,S013,174,S01.3 Ferim do ouvido
2568,O363,174,O36.3 Assist prestada a mae p/sinais hipoxia fetal
2569,S682,174,S68.2 Amput traum de dois ou mais dedos somente
2570,T783,174,T78.3 Edema angioneurotico
2571,K294,174,K29.4 Gastrite atrofica cronica
2572,H663,174,H66.3 Outr otites medias supurativas cronicas
2573,D760,173,D76.0 Histiocitose das celulas de Langerhans NCOP
2574,P390,173,P39.0 Mastite infecc neonatal
2575,D351,173,D35.1 Gland paratireoide
2576,O331,173,O33.1 Assist prest mae desprop contrac geral pelve
2577,T828,173,T82.8 Outr complic disp prot impl enx card vasc
2578,C080,173,C08.0 Gland submandibular
2579,J840,173,J84.0 Afeccoes alveolares e parieto-alveolares
2580,E298,173,E29.8 Outr disfuncao testicular
2581,C711,173,C71.1 Lobo frontal
2582,M472,173,M47.2 Outr espondiloses c/radiculopatias
2583,N952,172,N95.2 Vaginite atrofica pos-menopausa
2584,R935,172,R93.5 Achados anorm ex diag imag out reg abd retr
2585,J371,172,J37.1 Laringotraqueite cronica
2586,F453,171,F45.3 Transt neurovegetativo somatoforme
2587,F413,171,F41.3 Outr transt ansiosos mistos
2588,G930,171,G93.0 Cistos cerebrais
2589,M849,171,M84.9 Transt NE da continuidade do osso
2590,D162,171,D16.2 Ossos longos dos membros infer
2591,H209,171,H20.9 Iridociclite NE
2592,M890,171,M89.0 Algoneurodistrofia
2593,B001,170,B00.1 Dermatite vesicular dev virus do herpes
2594,A058,170,A05.8 Outr intox alimentares bacter espec
2595,K298,170,K29.8 Duodenite
2596,C750,170,C75.0 Gland paratireoide
2597,E763,170,E76.3 Mucopolissacaridose NE
2598,S021,169,S02.1 Frat da base do cranio
2599,G711,169,G71.1 Transt miotonicos
2600,M702,169,M70.2 Bursite do olecrano
2601,O681,169,O68.1 Trab parto e parto compl meconio liq amniot
2602,M429,169,M42.9 Osteocondrose vertebral NE
2603,M968,169,M96.8 Outr transt osteomusculares pos-proced
2604,M533,168,M53.3 Transt sacroccigeos NCOP
2605,H664,168,H66.4 Otite media supurativa NE
2606,M228,168,M22.8 Outr transt da rotula
2607,S221,168,S22.1 Frat mult da coluna toracica
2608,I672,168,I67.2 Aterosclerose cerebral
2609,D227,168,D22.7 Nevo melanocitico membros infer incl quadril
2610,G513,167,G51.3 Espasmo hemifacial clonico
2611,M328,167,M32.8 Outr form de lupus eritematoso disseminado
2612,K451,167,K45.1 Outr hernias abdominais espec com gangrena
2613,C269,167,C26.9 Localiz mal def dentro aparelho digestivo
2614,N159,166,N15.9 Doenc renal tubulo-intersticial NE
2615,T789,166,T78.9 Efeito adverso NE
2616,T055,166,T05.5 Amput traum de ambas as pernas
2617,O059,166,O05.9 Completo ou NE s/complic
2618,Q871,166,Q87.1 Sindr c/malform congen assoc predom nanismo
2619,N815,166,N81.5 Enterocele vaginal
2620,J322,166,J32.2 Sinusite etmoidal cronica
2621,H049,166,H04.9 Transt NE do aparelho lacrimal
2622,M930,166,M93.0 Luxacao da epifise super do femur
2623,S298,165,S29.8 Outr traum espec do torax
2624,E700,165,E70.0 Fenilcetonuria classica
2625,Z980,165,Z98.0 Derivacao intestinal ou anastomose intest
2626,L033,165,L03.3 Celulite do tronco
2627,I139,164,I13.9 Doenc cardiaca e renal hipertensiva NE
2628,M662,164,M66.2 Ruptura espontanea de tendoes extensores
2629,D751,164,D75.1 Policitemia secund
2630,J338,164,J33.8 Outr polipos do seio paranasal
2631,M165,164,M16.5 Outr coxartroses pos-traum
2632,M331,164,M33.1 Outr dermatomiosites
2633,F060,164,F06.0 Alucinose organica
2634,F109,164,F10.9 Transt mental ou comport NE
2635,H523,164,H52.3 Anisometropia e aniseiconia
2636,C183,164,C18.3 Flexura hepatica
2637,N899,164,N89.9 Transt nao-inflam da vagina NE
2638,A156,164,A15.6 Pleuris tuberc c/conf bacteriol e histolog
2639,K116,163,K11.6 Mucocele de gland salivar
2640,P034,163,P03.4 Fet rec-nasc afetados p/parto p/cesariana
2641,A638,163,A63.8 Outr doenc espec de transm predom sexual
2642,S921,163,S92.1 Frat do astragalo
2643,S983,163,S98.3 Amput traum de outr partes do pe
2644,H300,163,H30.0 Inflam coriorretiniana focal
2645,C740,163,C74.0 Cortex da supra-renal
2646,Z763,163,Z76.3 Pessoa em boa saude acompanh pessoa doente
2647,J382,162,J38.2 Nodulos das cordas vocais
2648,F252,162,F25.2 Transt esquizoafetivo do tipo misto
2649,N028,162,N02.8 Outr
2650,M850,162,M85.0 Displasia fibrosa
2651,J998,162,J99.8 Transt respirat em outr doenc COP
2652,A279,162,A27.9 Leptospirose NE
2653,G405,162,G40.5 Sindr epilepticas especiais
2654,Z025,162,Z02.5 Exame p/participacao em esporte
2655,E639,162,E63.9 Defic nutricional NE
2656,N820,162,N82.0 Fistula vesicovaginal
2657,S120,162,S12.0 Frat da primeira vertebra cervical
2658,C621,161,C62.1 Testiculo topico
2659,F988,161,F98.8 Outr trans comp emoc espec c/inic inf adoles
2660,K778,161,K77.8 Transt hepaticos em outr doenc COP
2661,C021,161,C02.1 Borda da lingua
2662,R309,161,R30.9 Miccao dolorosa NE
2663,E135,161,E13.5 C/compl circulatorias perifericas
2664,I888,161,I88.8 Outr linfadenites inespecificas
2665,M140,160,M14.0 Artropat gotosa dev def enzim out doen hered
2666,L049,160,L04.9 Linfadenite aguda de localiz NE
2667,H431,160,H43.1 Hemorragia do humor vitreo
2668,I659,160,I65.9 Oclusao e estenose arterias pre-cerebrais NE
2669,Z419,160,Z41.9 Proced NE p/outr prop exc cuidados de saude
2670,O40,160,O40   Polihidramnio
2671,I059,160,I05.9 Doenc NE da valva mitral
2672,C414,160,C41.4 Ossos da pelve sacro e coccix
2673,O340,160,O34.0 Assist a mae p/malformacao congen do utero
2674,F028,160,F02.8 Demencia em outr doenc espec COP
2675,C491,159,C49.1 Tec conjuntivo e moles membr sup incl ombro
2676,D800,159,D80.0 Hipogamaglobulinemia hereditaria
2677,G952,159,G95.2 Compressao NE de medula espinal
2678,G460,159,G46.0 Sindr da arteria cerebral media
2679,L598,159,L59.8 Outr afecc espec pele tec subcutaneo rel rad
2680,K631,159,K63.1 Perfuracao do intestino
2681,P942,159,P94.2 Hipotonia congen
2682,J311,159,J31.1 Nasofaringite cronica
2683,Z920,158,Z92.0 Historia pessoal de anticoncepcao
2684,L300,158,L30.0 Dermatite numular
2685,N802,158,N80.2 Endometriose da trompa de Falopio
2686,I445,158,I44.5 Bloqueio do fasciculo posterior esquerdo
2687,E215,158,E21.5 Transt NE da gland paratireoide
2688,M110,158,M11.0 Doenc p/deposicao de hidroxiapatita
2689,D375,158,D37.5 Reto
2690,R195,158,R19.5 Outr anormalidades fecais
2691,L908,158,L90.8 Outr afeccoes atroficas da pele
2692,Q518,158,Q51.8 Outr malformacoes congen utero colo do utero
2693,O649,158,O64.9 Obstr trab parto dev ma-posic ou ma-apres NE
2694,J028,157,J02.8 Faringite aguda dev outr microorg espec
2695,P920,157,P92.0 Vomitos no recem-nascido
2696,K511,157,K51.1 Ileocolite ulcerativa
2697,K078,157,K07.8 Outr anomalias dentofaciais
2698,S271,157,S27.1 Hemotorax traum
2699,T198,157,T19.8 Corpo estranho out part mult trat geniturin
2700,Q743,156,Q74.3 Artrogripose congen mult
2701,G444,156,G44.4 Cefaleia induz p/drogas NCOP
2702,O063,156,O06.3 Incompleto c/outr complic ou c/complic NE
2703,N884,156,N88.4 Alongamento hipertrofico do colo do utero
2704,Z423,156,Z42.3 Seguim envolv cirurg plast extrem super
2705,O369,156,O36.9 Assist prestada a mae p/problema fetal NE
2706,M131,156,M13.1 Monoartrites NCOP
2707,P059,156,P05.9 Retardo NE do crescimento fetal
2708,S817,156,S81.7 Ferim mult da perna
2709,I422,155,I42.2 Outr cardiomiopatias hipertroficas
2710,T925,155,T92.5 Sequelas traum musculo tendao membro super
2711,N338,155,N33.8 Transt da bexiga em outr doenc COP
2712,S666,155,S66.6 Traum musc flexores tend mult niv punho mao
2713,R681,155,R68.1 Sint nao especificos peculiares a infancia
2714,H150,155,H15.0 Esclerite
2715,D226,155,D22.6 Nevo melanocitico membros super incl ombro
2716,Q188,155,Q18.8 Outr malformacoes congen espec face pescoco
2717,R390,155,R39.0 Extravasamento de urina
2718,T290,154,T29.0 Queim mult grau NE
2719,C785,154,C78.5 Neopl malig secund intestino grosso e reto
2720,D237,154,D23.7 Pele dos membros infer incl o quadril
2721,I458,154,I45.8 Outr transt espec da conducao
2722,S064,154,S06.4 Hemorragia epidural
2723,G443,154,G44.3 Cefaleia cronica pos-traum
2724,S498,154,S49.8 Outr traum espec do ombro e do braco
2725,F21,154,F21   Transt esquizotipico
2726,I958,154,I95.8 Outr tipos de hipotensao
2727,T844,153,T84.4 Complic mec outr disp impl enx ortoped int
2728,C411,153,C41.1 Mandibula
2729,K148,153,K14.8 Outr doenc da lingua
2730,B084,153,B08.4 Estomatite vesic dev enterovirus c/exantema
2731,N835,153,N83.5 Torcao ovario pediculo ovarian tromp Falopio
2732,K130,153,K13.0 Doenc dos labios
2733,F431,153,F43.1 Estado de stress pos-traum
2734,S143,153,S14.3 Traum do plexo braquial
2735,F050,153,F05.0 Delirium nao superposto demencia assim descr
2736,H545,153,H54.5 Visao subnormal em um olho
2737,S219,153,S21.9 Ferim do torax parte NE
2738,D261,153,D26.1 Corpo do utero
2739,T130,152,T13.0 Traum superf de membro infer nivel NE
2740,R790,152,R79.0 Anormalidade nivel elementos minerais sangue
2741,A778,152,A77.8 Outr febres maculosas
2742,Q150,152,Q15.0 Glaucoma congen
2743,T920,151,T92.0 Sequelas de ferim do membro super
2744,W188,151,W18.8 Outr locais espec
2745,C163,151,C16.3 Antro pilorico
2746,D125,151,D12.5 Colon sigmoide
2747,S058,151,S05.8 Outr traum do olho e da orbita
2748,F058,151,F05.8 Outr delirium
2749,M602,151,M60.2 Granuloma de corpo estranho no tec mole NCOP
2750,N360,151,N36.0 Fistula uretral
2751,D449,150,D44.9 Gland endocrina NE
2752,M175,150,M17.5 Outr gonartroses secund
2753,W014,150,W01.4 Rua e estrada
2754,C827,150,C82.7 Outr tipos de linfoma nao-Hodgkin folicular
2755,I691,150,I69.1 Sequelas de hemorragia intracerebral
2756,O458,150,O45.8 Outr descolamento prematuro da placenta
2757,L649,150,L64.9 Alopecia androgenica NE
2758,D177,150,D17.7 Neoplasia lipomatosa benigna de outr localiz
2759,T242,150,T24.2 Queim 2.grau quadr membr inf exc tornoz pe
2760,O029,150,O02.9 Produto anormal da concepcao NE
2761,E116,150,E11.6 C/outr compl espec
2762,D165,150,D16.5 Osso da mandibula
2763,F09,149,F09   Transt mental organico ou sintomatico NE
2764,J013,149,J01.3 Sinusite esfenoidal aguda
2765,S200,149,S20.0 Contusao da mama
2766,N510,149,N51.0 Transt da prostata em doenc COP
2767,M349,149,M34.9 Esclerose sistemica NE
2768,O745,149,O74.5 Cefal pos-anest raquid perid trab parto part
2769,J391,149,J39.1 Outr abscessos da faringe
2770,J154,148,J15.4 Pneumonia dev outr estreptococos
2771,O349,148,O34.9 Assist prest mae p/anorm orgaos pelvicos NE
2772,M249,148,M24.9 Desarranjo articular NE
2773,C689,148,C68.9 Orgao urinario NE
2774,Z520,148,Z52.0 Doador de sangue
2775,E872,148,E87.2 Acidose
2776,T230,148,T23.0 Queim do punho e da mao grau NE
2777,T933,148,T93.3 Sequelas luxacao entorse distensao membr inf
2778,T902,148,T90.2 Sequelas de frat de cranio e de ossos face
2779,C434,148,C43.4 Melanoma malig couro cabeludo e do pescoco
2780,S889,148,S88.9 Amput traum da perna ao nivel NE
2781,I635,147,I63.5 Inf cer dev oclusao estenose NE art cerebr
2782,M661,147,M66.1 Ruptura de sinovia
2783,M223,147,M22.3 Outr desarranjos da rotula
2784,Q870,147,Q87.0 Sindr c/malf cong afet predom aspecto face
2785,A303,147,A30.3 Hanseniase dimorfa
2786,H181,147,H18.1 Ceratopatia bolhosa
2787,F439,147,F43.9 Reacao NE a um stress grave
2788,B378,147,B37.8 Candidiase de outr localiz
2789,Q620,147,Q62.0 Hidronefrose congen
2790,S360,147,S36.0 Traum do baco
2791,O659,147,O65.9 Obstr trab parto dev anorm pelvicas mat NE
2792,D383,147,D38.3 Mediastino
2793,E063,146,E06.3 Tireoidite auto-imune
2794,S301,146,S30.1 Contusao da parede abdominal
2795,N420,146,N42.0 Calculo da prostata
2796,K701,146,K70.1 Hepatite alcoolica
2797,M050,146,M05.0 Sindr de Felty
2798,A081,146,A08.1 Gastroenteropatia aguda p/agente de Norwalk
2799,S799,146,S79.9 Traum NE do quadril e da coxa
2800,A480,146,A48.0 Gangrena gasosa
2801,M234,146,M23.4 Corpo flutuante no joelho
2802,F845,145,F84.5 Sindr de Asperger
2803,T12,145,T12   Frat do membro infer nivel NE
2804,E299,145,E29.9 Disfuncao testicular NE
2805,T829,145,T82.9 Complic NE disp prot implant enx card vasc
2806,K745,145,K74.5 Cirrose biliar SOE
2807,I860,145,I86.0 Varizes sublinguais
2808,D441,145,D44.1 Gland supra-renal
2809,M862,145,M86.2 Osteomielite subaguda
2810,M793,145,M79.3 Paniculite NE
2811,M430,144,M43.0 Espondilolise
2812,H050,144,H05.0 Inflam aguda da orbita
2813,N958,144,N95.8 Outr transt espec menopausa e perimenopausa
2814,B018,144,B01.8 Varicela c/outr complic
2815,J14,144,J14   Pneumonia dev Haemophilus infuenzae
2816,P210,144,P21.0 Asfixia grave ao nascer
2817,C158,144,C15.8 Lesao invasiva do esofago
2818,J012,143,J01.2 Sinusite etmoidal aguda
2819,Q380,143,Q38.0 Malformacoes congen dos labios NCOP
2820,A878,143,A87.8 Outr meningites virais
2821,T029,143,T02.9 Frat mult NE
2822,I871,143,I87.1 Compressao venosa
2823,M303,143,M30.3 Sindr de linfonodos mucocutaneos
2824,S761,143,S76.1 Traum do musculo e do tendao do quadriceps
2825,K752,143,K75.2 Hepatite reativa nao-especifica
2826,I723,143,I72.3 Aneurisma de arteria iliaca
2827,L930,142,L93.0 Lupus eritematoso discoide
2828,E799,142,E79.9 Disturbio NE metabolismo purina e pirimidina
2829,C222,142,C22.2 Hepatoblastoma
2830,G729,142,G72.9 Miopatia NE
2831,S689,142,S68.9 Amput traum do punho e da mao nivel NE
2832,A509,142,A50.9 Sifilis congen NE
2833,N362,142,N36.2 Caruncula uretral
2834,Q650,142,Q65.0 Luxacao congen unilateral do quadril
2835,S969,142,S96.9 Traum de musculo e tendao NE tornozelo e pe
2836,H800,142,H80.0 Otosclerose q comprom janela oval nao-oblit
2837,F195,142,F19.5 Transt psicotico
2838,C139,141,C13.9 Hipofaringe NE
2839,L708,141,L70.8 Outr form de acne
2840,Q802,141,Q80.2 Ictiose lamelar
2841,N220,141,N22.0 Calculo urinario na esquistossomose
2842,E739,141,E73.9 Intolerancia a lactose NE
2843,H428,141,H42.8 Glaucoma em outr doenc COP
2844,K766,141,K76.6 Hipertensao portal
2845,L719,141,L71.9 Rosacea NE
2846,G111,141,G11.1 Ataxia cerebelar de inicio precoce
2847,M729,141,M72.9 Transt fibroblastico NE
2848,T857,140,T85.7 Inf reac inf dev outr disp prot impl enx int
2849,Q524,140,Q52.4 Outr malformacoes congen da vagina
2850,B027,140,B02.7 Herpes zoster disseminado
2851,S141,140,S14.1 Outr traum e os NE da medula cervical
2852,T222,140,T22.2 Queim 2.grau ombro membr sup exc punho e mao
2853,K918,140,K91.8 Outr transt aparelho digest pos-cirurg NCOP
2854,Q670,140,Q67.0 Assimetria facial
2855,P140,140,P14.0 Paralisia de Erb dev traum de parto
2856,B572,140,B57.2 Doenc de Chagas c/compr cardiaco
2857,S061,140,S06.1 Edema cerebral traum
2858,S234,140,S23.4 Entorse e distensao das costelas e esterno
2859,C060,140,C06.0 Mucosa oral
2860,D181,140,D18.1 Linfangioma de qualquer localiz
2861,R478,140,R47.8 Outr disturbios da fala e os NE
2862,N391,140,N39.1 Proteinuria persistente NE
2863,H810,140,H81.0 Doenc de Meniere
2864,S599,140,S59.9 Traum NE do antebraco
2865,L814,139,L81.4 Outr form de hiperpigmentacao p/melanina
2866,S315,139,S31.5 Ferim de outr orgaos genitais externos e NE
2867,A308,139,A30.8 Outr form de hanseniase
2868,C570,139,C57.0 Trompa de Falopio
2869,J170,139,J17.0 Pneumonia em doenc bacter COP
2870,E849,139,E84.9 Fibrose cistica NE
