"Município";"2007/Fev";"2007/Mai";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"Total"
"355560 Uchoa";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"355570 União Paulista";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;2;1;-;-;-;-;2;1;-;-;1;3;1;1;-;-;-;-;1;-;-;-;-;1;1;1;1;1;-;-;-;1;2;1;1;1;-;-;-;1;-;-;1;1;2;2;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;1;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;56
"355580 Urânia";-;-;-;-;-;-;-;1;2;2;-;-;1;-;2;-;-;2;1;-;1;-;7;-;2;9;4;5;3;4;2;1;-;2;1;1;1;3;-;1;3;6;3;6;4;2;3;1;1;1;2;7;1;-;3;3;2;1;1;5;3;-;1;-;-;1;-;1;2;1;1;1;-;-;-;-;-;-;-;2;4;1;1;1;-;-;1;1;-;-;1;-;2;-;1;1;-;1;1;4;1;-;-;-;-;1;-;-;-;-;-;1;1;1;2;1;1;1;-;-;-;-;1;1;-;2;-;1;-;-;1;-;-;1;2;1;1;-;1;-;-;-;-;-;-;-;1;1;-;-;-;1;1;-;1;1;-;174
"355590 Uru";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"355600 Urupês";-;-;-;-;-;1;4;4;10;6;7;6;6;7;8;4;7;6;7;2;2;2;4;8;3;2;4;5;3;2;2;4;-;8;4;-;-;4;-;3;-;4;2;5;5;6;1;4;6;2;4;2;-;4;3;5;2;8;5;6;3;2;3;9;6;1;-;3;1;2;5;-;1;2;2;3;2;3;4;2;-;2;1;-;4;-;2;7;2;3;4;4;1;3;1;4;2;1;1;1;2;4;1;1;3;3;2;2;2;3;3;6;1;-;2;-;-;4;1;-;1;1;5;2;2;5;2;7;2;4;4;1;2;3;4;3;1;1;1;2;4;-;-;1;2;1;1;4;1;-;-;-;-;-;-;-;-;423
"355610 Valentim Gentil";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;2;-;-;-;-;-;-;2;-;-;-;-;1;-;1;1;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"355620 Valinhos";-;-;-;-;-;-;-;-;-;2;1;1;4;1;-;-;-;-;-;-;-;1;1;6;1;1;-;-;-;1;-;-;-;-;-;4;3;2;2;9;6;6;4;3;1;3;-;3;9;1;3;4;4;8;3;3;4;7;5;5;3;4;6;6;4;1;1;2;2;5;5;5;4;6;5;-;2;5;3;5;2;6;4;2;3;6;3;1;3;-;3;5;2;1;8;3;6;5;4;7;1;-;-;7;2;3;3;2;2;5;-;3;6;8;4;2;-;2;2;3;2;1;4;3;4;1;4;6;4;1;1;2;2;5;1;1;4;3;5;1;1;1;-;2;4;3;2;3;6;2;3;1;1;4;3;2;1;419
"355630 Valparaíso";-;-;-;-;-;-;3;-;1;5;2;-;-;-;-;1;-;2;1;-;-;1;1;6;1;-;-;3;3;1;-;2;-;1;-;-;-;-;-;-;-;2;2;-;3;-;2;-;-;-;1;1;2;1;1;2;-;2;-;-;-;-;-;-;-;1;2;1;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;2;1;2;-;2;-;3;1;2;-;1;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;2;2;-;1;-;1;-;1;-;2;-;1;-;1;-;-;-;2;1;1;1;-;3;3;-;-;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;105
"355635 Vargem";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"355640 Vargem Grande do Sul";-;-;-;-;-;-;-;5;8;4;3;2;3;3;5;3;8;6;7;6;6;6;5;3;1;9;2;2;1;3;1;3;1;1;3;3;3;3;4;-;5;2;1;3;1;5;4;3;3;3;1;1;1;4;2;4;2;3;-;2;1;3;4;6;6;4;3;-;8;4;1;4;-;4;2;4;2;1;5;2;3;4;2;7;3;3;6;3;3;-;5;5;5;3;2;7;5;2;3;1;-;4;1;-;3;5;3;1;1;2;-;-;-;4;2;-;2;-;-;1;1;-;-;-;1;1;-;2;2;2;1;2;1;-;-;-;1;2;1;1;-;-;1;-;1;4;-;2;-;1;-;4;-;-;1;-;-;370
"355645 Vargem Grande Paulista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;1;3;1;2;-;-;-;2;-;-;-;-;-;-;1;-;1;1;-;1;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;31
"355650 Várzea Paulista";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;19
"355660 Vera Cruz";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"355670 Vinhedo";-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;1;-;-;-;1;2;5;3;3;-;1;1;4;1;-;-;5;1;3;3;1;4;1;4;5;1;6;3;2;-;3;1;3;-;1;2;1;4;1;-;2;-;1;-;1;1;1;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;15;8;4;6;1;8;10;1;-;1;-;-;-;2;-;-;-;-;1;1;1;1;2;3;1;1;2;2;3;1;2;6;4;1;4;7;-;9;2;7;1;5;-;1;2;219
"355680 Viradouro";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;-;-;1;1;1;-;-;2;-;-;-;-;1;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;2;-;-;-;2;1;-;1;-;-;1;-;1;-;-;1;1;-;-;1;-;-;1;1;1;-;1;1;-;1;-;-;-;-;-;-;-;1;1;-;-;1;-;1;-;1;1;-;1;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;1;1;1;-;-;1;1;-;-;1;1;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;54
"355690 Vista Alegre do Alto";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"355695 Vitória Brasil";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"355700 Votorantim";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;1;2;-;-;-;-;26
"355710 Votuporanga";-;-;-;-;-;-;1;1;-;-;6;3;3;3;1;3;-;2;1;-;1;1;2;3;-;3;1;-;-;3;3;2;2;2;1;3;4;1;2;1;5;3;1;-;-;-;1;1;3;-;2;2;5;1;3;2;1;4;2;-;-;2;-;4;-;1;-;5;3;1;-;2;1;1;4;2;1;3;1;-;-;5;-;-;-;2;1;1;2;1;-;2;1;2;-;-;3;2;-;2;1;-;-;3;1;-;-;-;-;1;-;1;-;1;-;-;2;-;-;1;-;-;1;1;1;-;-;-;1;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;170
"355715 Zacarias";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"410010 Abatiá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;1;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;4;3;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;2;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39
"410020 Adrianópolis";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"410030 Agudos do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;7
"410040 Almirante Tamandaré";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;1;-;1;-;-;-;-;1;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;2;-;-;-;-;-;-;1;1;-;2;2;-;-;-;1;-;-;1;1;3;1;1;-;-;-;2;1;-;-;-;1;2;-;-;1;3;1;-;-;-;-;-;-;-;1;1;1;1;-;2;-;-;-;-;-;-;-;-;-;-;58
"410045 Altamira do Paraná";-;-;-;-;-;-;-;2;4;-;-;-;-;-;-;2;4;1;5;4;7;5;3;1;4;5;3;-;7;1;4;6;3;4;4;2;2;2;-;-;4;2;2;3;1;1;-;1;3;1;2;1;4;2;4;2;2;6;1;1;2;1;2;1;1;1;-;2;3;3;2;3;-;-;-;-;1;-;-;2;1;2;1;4;-;-;2;2;-;1;-;-;1;2;-;-;3;-;-;-;1;-;-;1;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;176
"412862 Alto Paraíso";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"410060 Alto Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"410070 Alto Piquiri";-;-;-;-;-;-;-;-;1;1;-;1;1;-;-;1;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"410050 Altônia";-;-;-;-;-;-;2;14;11;6;6;3;2;6;9;3;5;1;2;6;3;5;4;3;2;6;4;-;2;2;2;3;2;1;1;1;-;4;6;1;-;1;2;3;2;1;2;2;1;-;1;2;2;4;2;2;2;4;1;2;1;2;-;3;-;-;1;-;1;2;2;1;2;-;1;3;-;1;-;2;-;3;1;3;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;1;1;-;1;-;1;2;1;-;1;-;-;-;-;-;1;-;-;2;1;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;217
"410080 Alvorada do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"410090 Amaporã";-;-;-;-;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;16
"410100 Ampére";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"410110 Andirá";-;-;-;-;-;-;-;-;6;5;2;3;4;2;1;1;7;2;2;4;5;3;5;9;4;8;3;2;3;4;3;4;4;2;1;4;7;4;4;7;5;7;10;9;2;2;5;1;4;2;4;2;4;5;5;2;7;9;2;3;11;2;3;2;6;4;2;-;4;3;8;7;4;1;7;3;2;6;6;5;3;2;2;9;4;7;6;3;4;7;3;6;7;8;6;4;6;4;5;7;5;3;-;1;2;3;3;2;-;2;3;5;2;3;3;2;1;-;1;2;1;1;8;2;2;-;2;1;-;1;1;2;2;2;1;3;4;-;1;2;4;3;2;2;-;-;-;1;2;2;2;2;1;1;1;2;-;508
"410115 Ângulo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"410120 Antonina";-;-;-;-;-;-;-;1;3;3;-;1;1;1;1;-;3;1;-;3;-;4;-;3;1;1;1;1;1;1;1;2;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;1;-;2;-;2;1;1;2;2;-;-;1;4;-;-;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;2;1;1;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74
"410130 Antônio Olinto";-;-;-;2;1;5;1;-;-;-;1;1;1;-;-;-;2;-;-;-;-;1;1;-;1;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;1;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;1;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37
"410140 Apucarana";-;-;-;-;-;1;-;-;-;1;1;1;-;2;2;-;-;-;1;2;3;7;2;1;5;1;1;1;1;1;6;3;4;2;1;-;1;2;1;1;-;2;1;-;3;-;-;-;-;-;-;-;3;-;1;4;1;1;1;1;1;1;2;-;1;1;4;2;1;-;2;1;1;1;-;3;3;2;3;2;3;2;2;1;-;3;-;1;2;2;3;2;1;-;2;2;2;2;3;1;3;1;2;2;2;2;4;3;1;1;5;-;3;3;7;-;1;1;1;6;2;-;-;1;1;1;1;1;1;1;1;1;-;1;-;-;-;-;2;1;-;-;-;-;-;1;-;-;1;-;1;-;1;-;-;-;-;205
"410150 Arapongas";-;-;-;1;8;1;2;1;1;1;4;7;3;2;-;1;1;7;6;1;2;3;3;4;2;2;4;4;2;2;2;1;4;2;-;3;-;1;-;-;-;-;-;1;1;5;6;9;1;8;9;8;13;11;12;10;12;10;5;6;6;8;10;11;13;4;9;9;-;13;1;8;3;6;14;7;9;10;5;3;4;9;10;10;4;7;7;9;7;1;5;5;9;5;7;7;10;1;13;10;8;8;5;13;13;12;9;6;3;7;9;6;5;4;5;3;3;6;2;2;6;8;10;2;6;6;1;5;2;8;1;3;4;3;1;1;4;3;1;3;2;1;7;2;-;-;1;2;2;1;-;-;1;-;1;-;-;731
