 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Capítulo CID-10
Período:2017
"Município";"Cap 01";"Cap 02";"Cap 03";"Cap 04";"Cap 05";"Cap 06";"Cap 07";"Cap 08";"Cap 09";"Cap 10";"Cap 11";"Cap 12";"Cap 13";"Cap 14";"Cap 15";"Cap 16";"Cap 17";"Cap 18";"Cap 19";"Cap 21";"Total"
"311130 Campo do Meio";38;70;16;22;4;21;2;2;105;187;154;4;9;116;150;11;11;11;71;10;1014
"311140 Campo Florido";20;33;-;3;6;3;-;-;27;21;29;5;1;18;58;6;1;6;29;7;273
"311150 Campos Altos";84;79;12;23;4;11;2;-;113;196;66;9;13;73;197;35;8;13;82;5;1025
"311160 Campos Gerais";132;115;31;78;7;56;1;2;247;213;343;41;43;191;297;36;13;51;101;20;2018
"311190 Cana Verde";9;15;6;10;-;11;-;-;60;31;43;4;23;39;43;6;1;2;33;6;342
"311170 Canaã";11;32;7;4;4;3;-;2;38;23;22;2;7;25;52;20;1;7;50;6;316
"311180 Canápolis";27;27;11;29;10;2;-;1;64;77;73;7;1;56;109;8;1;6;23;13;545
"311200 Candeias";40;77;38;40;6;6;8;-;167;203;120;20;35;127;59;5;5;8;97;23;1084
"311205 Cantagalo";32;7;1;12;-;3;-;-;19;43;14;1;2;13;58;-;1;-;17;-;223
"311210 Caparaó";21;53;3;16;7;7;-;4;58;44;41;3;8;13;58;5;1;5;49;12;408
"311220 Capela Nova";6;8;5;4;2;3;1;-;40;17;25;-;2;11;37;3;-;2;20;3;189
"311230 Capelinha";254;109;42;90;54;67;2;1;349;597;218;12;13;136;630;86;8;56;433;47;3204
"311240 Capetinga";26;28;7;17;6;8;5;-;61;113;51;1;10;52;64;10;4;4;33;4;504
"311250 Capim Branco";14;31;6;10;3;13;2;1;69;47;39;15;5;43;102;11;-;4;62;8;485
"311260 Capinópolis";29;38;10;28;9;8;2;2;97;126;110;23;11;112;161;11;2;24;65;7;875
"311265 Capitão Andrade";10;23;1;6;-;7;2;-;21;29;23;4;5;35;68;8;1;3;26;2;274
"311270 Capitão Enéas";20;28;3;7;4;4;4;-;92;24;33;17;24;31;186;33;13;8;54;33;618
"311280 Capitólio";64;48;22;19;2;11;1;-;69;106;72;10;16;45;93;18;2;4;81;4;687
"311290 Caputira";15;42;5;4;1;4;5;1;30;31;53;5;8;32;101;4;3;4;61;14;423
"311300 Caraí";119;41;19;117;-;5;2;-;158;289;100;13;23;87;258;20;3;11;154;9;1428
"311310 Caranaíba";8;11;2;7;1;4;-;-;31;28;7;2;2;5;31;4;2;4;27;1;177
"311320 Carandaí";36;104;21;50;28;15;9;3;228;189;178;20;27;81;234;20;11;9;130;17;1410
"311330 Carangola";167;274;45;145;70;65;39;3;395;341;265;16;43;184;319;36;10;41;313;57;2828
"311340 Caratinga";228;264;33;54;17;45;5;1;239;196;159;58;37;144;835;93;17;59;415;44;2943
"311350 Carbonita";39;19;3;13;6;5;1;-;118;78;52;5;9;40;99;8;1;12;67;7;582
"311360 Careaçu";60;22;-;9;1;8;3;-;46;86;23;10;12;34;49;4;7;3;36;5;418
"311370 Carlos Chagas";225;53;11;209;1;10;4;-;146;336;103;8;24;114;164;6;12;3;163;11;1603
"311380 Carmésia";4;6;1;6;2;-;-;-;13;24;13;1;8;14;25;3;-;1;24;1;146
"311390 Carmo da Cachoeira";108;37;13;42;2;10;5;-;137;55;69;10;8;66;126;18;5;4;62;4;781
"311400 Carmo da Mata";19;90;7;6;-;9;2;1;47;70;61;3;10;45;67;10;1;10;61;4;523
"311410 Carmo de Minas";99;38;35;32;13;26;8;-;118;93;98;27;12;39;185;41;9;8;41;7;929
"311420 Carmo do Cajuru";17;131;2;5;6;3;3;-;50;34;47;4;20;40;204;24;14;8;74;15;701
"311430 Carmo do Paranaíba";116;61;36;30;19;29;10;3;226;323;236;50;39;194;447;39;7;24;156;95;2140
"311440 Carmo do Rio Claro";85;85;32;64;25;25;1;-;185;251;156;26;28;114;191;18;10;21;91;21;1429
"311450 Carmópolis de Minas";46;66;17;53;7;10;1;3;129;184;113;15;20;97;173;11;5;12;142;10;1114
"311455 Carneirinho";20;49;-;5;4;3;1;-;25;15;47;2;1;15;59;2;2;1;27;3;281
"311460 Carrancas";20;12;2;6;1;3;-;1;41;29;18;6;10;23;61;4;-;1;32;6;276
"311470 Carvalhópolis";10;41;4;16;-;5;-;-;31;24;28;3;4;19;39;-;2;15;18;1;260
"311480 Carvalhos";3;15;2;10;1;2;4;-;65;42;44;3;6;45;54;2;2;1;20;2;323
"311490 Casa Grande";12;16;2;7;-;1;-;-;16;21;12;-;2;9;22;1;-;1;11;-;133
"311500 Cascalho Rico";6;10;1;3;1;3;1;-;5;14;21;-;4;9;16;3;-;2;10;-;109
"311510 Cássia";178;146;53;126;14;27;99;1;262;433;372;46;47;336;279;27;5;35;217;7;2710
"311530 Cataguases";399;377;45;315;100;85;18;6;729;568;341;32;51;397;542;45;12;119;400;59;4640
"311535 Catas Altas";13;35;5;8;1;2;1;-;39;51;23;4;13;17;61;4;2;3;18;6;306
"311540 Catas Altas da Noruega";18;8;1;2;1;3;1;-;31;17;16;3;6;7;31;8;1;6;20;1;181
"311545 Catuji";37;25;5;22;-;1;1;-;42;51;40;3;7;21;132;10;3;4;62;9;475
"311547 Catuti";13;14;4;23;4;5;4;-;45;14;54;5;9;24;67;29;2;7;36;6;365
"311550 Caxambu";35;84;50;140;20;50;52;1;363;241;215;34;20;169;254;40;9;20;187;7;1991
"311560 Cedro do Abaeté";4;3;7;8;-;1;1;-;11;23;5;3;-;17;6;3;-;1;13;-;106
"311570 Central de Minas";68;44;3;56;2;4;3;-;78;108;51;2;17;35;22;3;1;3;44;4;548
"311580 Centralina";8;26;8;10;10;6;1;-;52;16;38;5;9;24;89;7;2;10;28;2;351
"311590 Chácara";11;47;1;5;5;7;1;1;33;20;14;3;7;9;29;3;1;1;19;3;220
"311600 Chalé";17;26;2;5;3;3;2;-;36;9;41;2;5;20;43;7;-;2;56;5;284
"311610 Chapada do Norte";31;23;3;40;22;49;2;-;104;80;100;9;4;58;115;15;4;22;153;9;843
"311615 Chapada Gaúcha";18;23;7;9;3;5;-;1;25;31;50;10;7;25;161;7;1;5;35;2;425
"311620 Chiador";7;30;-;5;5;4;4;2;26;23;11;4;3;13;28;5;1;1;22;-;194
"311630 Cipotânea";17;37;3;49;13;3;1;-;44;113;26;6;2;27;47;6;-;7;42;11;454
"311640 Claraval";-;1;-;-;1;1;3;-;2;5;5;-;-;4;3;-;2;-;13;1;41
"311650 Claro dos Poções";16;46;3;6;13;2;1;-;75;28;40;19;7;10;77;8;-;2;51;37;441
"311660 Cláudio";59;133;18;52;1;28;12;2;237;235;259;31;19;187;360;18;5;19;217;37;1929
"311670 Coimbra";35;44;5;31;2;5;2;1;87;51;57;4;7;29;64;5;3;19;54;3;508
"311680 Coluna";74;33;6;46;7;1;-;1;98;245;37;-;2;22;72;7;1;8;41;2;703
"311690 Comendador Gomes";6;11;3;2;1;-;3;-;11;17;12;2;2;13;18;3;1;1;23;1;130
"311700 Comercinho";32;11;7;24;1;5;2;1;49;48;48;8;6;39;67;9;3;3;99;4;466
"311710 Conceição da Aparecida";46;65;11;42;5;20;-;8;107;126;109;25;10;145;113;9;5;12;77;10;945
"311520 Conceição da Barra de Minas";7;28;1;10;1;3;3;-;27;17;17;1;5;7;25;4;1;4;24;1;186
"311730 Conceição das Alagoas";150;109;21;19;26;31;11;4;171;118;247;12;37;125;258;24;4;32;189;81;1669
"311720 Conceição das Pedras";12;8;1;1;-;2;-;-;25;10;15;2;2;5;23;1;-;3;19;2;131
"311740 Conceição de Ipanema";12;9;3;2;1;7;-;-;25;15;25;1;2;12;22;1;1;1;22;4;165
"311750 Conceição do Mato Dentro";40;49;15;27;15;9;13;-;97;82;69;41;21;81;237;27;4;16;117;61;1021
"311760 Conceição do Pará";12;12;3;10;-;2;2;1;26;41;18;6;13;21;36;10;-;-;34;4;251
"311770 Conceição do Rio Verde";35;32;16;95;7;14;13;-;108;98;84;10;13;30;148;29;3;8;47;2;792
"311780 Conceição dos Ouros";28;34;3;3;-;4;2;-;57;38;40;2;8;25;65;10;2;3;42;8;374
"311783 Cônego Marinho";6;8;2;1;-;1;6;-;12;14;17;6;3;11;72;5;10;1;17;1;193
"311787 Confins";14;25;1;1;3;9;2;-;22;15;55;6;7;34;75;11;3;1;35;7;326
"311790 Congonhal";45;47;4;4;8;12;-;-;63;45;51;4;9;25;70;19;4;2;51;10;473
"311800 Congonhas";140;259;36;107;53;57;10;2;390;279;291;50;60;209;513;51;13;34;230;34;2818
"311810 Congonhas do Norte";14;17;-;2;4;7;1;-;37;22;30;1;3;13;76;7;2;13;44;2;295
"311820 Conquista";15;35;2;31;8;2;-;-;39;55;38;2;3;40;33;1;3;9;21;3;340
"311830 Conselheiro Lafaiete";604;528;44;419;38;82;24;1;1372;776;874;59;179;489;1230;96;37;42;542;125;7561
"311840 Conselheiro Pena";503;113;7;154;1;14;6;1;163;613;245;21;24;223;258;28;3;6;109;6;2498
"311850 Consolação";10;2;-;8;-;-;-;-;16;33;8;-;1;19;30;6;-;-;6;1;140
"311860 Contagem";1202;2357;127;419;159;642;162;30;2193;1679;2185;691;528;1583;5845;1579;191;556;3457;651;26236
"311870 Coqueiral";17;33;4;6;27;9;-;-;61;32;42;9;10;38;93;12;2;8;45;2;450
"311880 Coração de Jesus";50;94;18;67;9;10;20;-;201;178;155;120;15;89;265;23;5;14;161;72;1566
"311890 Cordisburgo";10;29;6;5;6;3;1;-;68;56;37;6;10;31;57;3;2;3;46;5;384
"311900 Cordislândia";10;9;1;14;1;7;-;-;27;24;19;3;2;12;38;5;-;2;15;2;191
"311910 Corinto";49;124;3;19;7;10;5;2;134;91;91;11;21;48;317;29;10;14;151;26;1162
"311920 Coroaci";16;48;1;4;-;7;-;-;44;19;26;4;10;14;57;6;3;3;29;1;292
"311930 Coromandel";78;102;6;76;16;47;3;6;133;323;268;14;43;216;346;23;10;27;172;22;1931
"311940 Coronel Fabriciano";314;592;56;119;42;120;10;6;727;477;433;99;105;355;976;132;13;94;624;54;5348
"311950 Coronel Murta";23;21;1;8;7;6;-;-;41;36;30;24;11;17;95;10;2;5;69;12;418
"311960 Coronel Pacheco";11;13;4;5;-;3;-;-;31;16;20;4;2;23;46;2;3;2;19;5;209
"311970 Coronel Xavier Chaves";10;17;-;9;2;9;-;1;30;30;15;4;2;22;23;6;-;2;18;2;202
"311980 Córrego Danta";4;10;2;16;1;4;-;-;38;52;20;-;3;24;17;3;2;5;20;1;222
"311990 Córrego do Bom Jesus";7;19;2;13;2;3;4;-;48;62;40;8;5;19;16;4;2;9;16;1;280
"311995 Córrego Fundo";11;25;1;4;2;7;2;-;21;26;25;2;6;20;39;3;2;2;29;1;228
"312000 Córrego Novo";6;8;3;1;-;5;-;-;18;11;25;3;5;11;39;5;4;2;29;3;178
"312010 Couto de Magalhães de Minas";20;10;3;2;4;7;-;-;50;13;29;7;5;14;72;6;-;14;36;2;294
"312015 Crisólita";69;17;4;12;1;1;1;-;33;37;18;1;5;16;53;4;5;2;31;4;314
"312020 Cristais";16;43;27;6;1;5;7;-;97;72;58;2;31;31;96;8;6;5;57;7;575
"312030 Cristália";39;8;9;15;11;5;1;-;72;57;37;8;8;23;67;22;4;3;25;6;420
"312040 Cristiano Otoni";17;9;-;7;1;6;2;-;37;21;32;10;4;11;37;17;4;4;23;3;245
"312050 Cristina";43;28;18;113;11;24;2;-;119;167;107;8;16;77;105;25;2;7;74;6;952
"312060 Crucilândia";12;25;2;7;4;3;11;1;32;24;24;5;4;17;31;7;1;-;33;6;249
"312070 Cruzeiro da Fortaleza";4;9;3;-;5;1;1;-;19;12;22;1;1;8;54;7;1;2;18;3;171
"312080 Cruzília";46;72;11;98;5;34;71;2;319;174;159;19;44;196;289;59;10;64;120;8;1800
"312083 Cuparaque";36;24;3;30;2;3;1;-;45;68;49;6;16;34;73;9;1;5;37;1;443
"312087 Curral de Dentro";17;17;5;11;6;5;1;1;40;51;70;10;7;20;95;11;-;17;50;5;439
"312090 Curvelo";171;324;22;87;20;69;10;5;653;435;442;69;101;293;976;64;28;43;446;118;4376
"312100 Datas";19;18;1;6;9;11;3;-;66;31;48;-;2;16;134;11;1;21;26;4;427
"312110 Delfim Moreira";18;29;1;5;1;4;1;2;57;35;39;5;5;12;67;1;3;4;40;1;330
"312120 Delfinópolis";28;56;11;10;5;9;9;1;63;105;45;21;12;52;77;3;3;11;59;3;583
"312125 Delta";21;41;3;11;10;4;-;-;27;23;34;10;7;18;99;7;4;7;27;8;361
"312130 Descoberto";6;20;3;44;1;6;1;1;70;30;23;21;6;20;61;1;2;7;34;3;360
"312140 Desterro de Entre Rios";18;29;10;18;12;3;-;-;121;90;47;9;7;20;62;3;3;4;38;4;498
"312150 Desterro do Melo";3;16;2;3;3;-;-;-;41;19;10;7;5;11;19;1;1;3;31;4;179
"312160 Diamantina";179;192;26;43;84;113;14;4;552;229;387;42;65;222;802;66;22;120;411;91;3664
"312170 Diogo de Vasconcelos";6;24;1;5;-;2;1;-;26;8;10;3;4;9;36;4;5;9;24;-;177
"312180 Dionísio";17;59;11;11;2;3;-;1;31;25;32;4;3;25;62;4;2;3;36;6;337
"312190 Divinésia";8;26;2;10;-;3;3;-;48;19;18;1;2;36;35;5;2;7;25;2;252
"312200 Divino";132;181;24;97;27;19;26;4;251;257;146;21;29;169;228;35;4;15;143;23;1831
"312210 Divino das Laranjeiras";66;19;4;21;3;12;-;-;28;62;27;2;3;28;32;5;1;1;27;-;341
"312220 Divinolândia de Minas";22;26;6;38;2;16;-;-;44;79;32;-;2;19;72;7;6;1;33;1;406
"312230 Divinópolis";208;1568;39;74;7;76;23;6;617;551;826;118;213;485;1717;219;66;59;810;185;7867
"312235 Divisa Alegre";67;18;6;35;2;3;-;-;39;74;40;7;2;39;107;17;-;8;78;13;555
"312240 Divisa Nova";12;45;-;5;14;18;1;-;38;28;38;12;5;21;86;10;4;14;30;8;389
"312245 Divisópolis";29;3;4;10;1;9;1;-;43;54;27;3;1;20;85;10;1;4;44;6;355
"312247 Dom Bosco";1;3;2;1;1;3;-;-;17;7;7;1;2;-;23;1;2;-;10;1;82
"312250 Dom Cavati";29;29;3;12;2;7;-;-;44;31;42;5;11;20;53;7;-;1;53;5;354
"312260 Dom Joaquim";17;9;2;13;4;8;1;1;32;38;24;3;1;17;49;7;-;3;40;6;275
"312270 Dom Silvério";43;31;2;16;1;5;1;-;64;73;42;4;7;40;34;4;1;12;30;-;410
"312280 Dom Viçoso";16;12;7;11;6;1;4;1;23;22;27;1;6;15;29;5;2;1;13;1;203
"312290 Dona Eusébia";33;37;5;23;4;10;1;-;90;52;54;1;5;32;43;5;2;6;43;-;446
"312300 Dores de Campos";25;34;3;16;7;9;3;1;79;86;47;5;21;49;98;11;8;1;66;4;573
"312310 Dores de Guanhães";11;17;3;6;1;3;2;1;49;30;12;6;8;37;50;5;1;10;51;5;308
"312320 Dores do Indaiá";133;86;12;48;2;39;3;2;149;60;274;5;18;48;103;14;1;8;76;18;1099
"312330 Dores do Turvo";14;10;1;2;1;1;5;-;25;19;31;1;5;21;35;4;-;1;32;2;210
"312340 Doresópolis";8;7;-;7;-;8;-;-;16;26;22;3;3;13;17;3;2;4;15;2;156
"312350 Douradoquara";3;3;-;-;6;1;-;-;11;10;9;1;-;5;10;6;2;3;14;1;85
"312352 Durandé";24;33;1;2;-;-;12;-;37;21;64;16;9;23;91;13;5;2;65;7;425
"312360 Elói Mendes";109;207;48;45;8;19;3;1;244;191;216;103;24;171;326;42;7;38;112;13;1927
"312370 Engenheiro Caldas";30;59;2;24;8;3;1;-;55;30;32;14;17;36;133;24;1;3;76;7;555
"312380 Engenheiro Navarro";20;22;4;15;3;2;5;-;58;58;41;20;11;25;94;7;2;9;69;9;474
"312385 Entre Folhas";20;12;2;3;1;1;2;-;22;17;17;6;5;12;57;10;1;2;41;7;238
"312390 Entre Rios de Minas";92;75;27;39;18;18;3;-;257;199;104;14;18;71;144;11;5;9;80;11;1195
"312400 Ervália";164;89;19;106;17;12;3;-;199;229;112;15;14;105;149;18;7;15;143;14;1430
"312410 Esmeraldas";213;257;71;99;60;84;38;6;589;481;336;61;70;449;1076;155;18;34;451;455;5003
"312420 Espera Feliz";111;156;30;121;45;36;10;1;242;248;157;26;34;165;207;20;11;18;208;45;1891
"312430 Espinosa";170;80;19;58;3;10;1;-;297;303;79;23;23;110;366;29;8;10;119;19;1727
"312440 Espírito Santo do Dourado";30;18;1;2;2;5;-;-;26;18;30;3;4;15;69;7;3;5;23;2;263
"312450 Estiva";56;24;6;15;10;14;2;2;82;105;53;6;6;38;65;6;2;8;84;3;587
"312460 Estrela Dalva";9;32;6;4;-;-;1;-;16;17;18;3;1;15;22;5;3;2;20;3;177
"312470 Estrela do Indaiá";10;32;2;4;1;1;1;-;39;35;43;1;3;32;31;3;-;4;15;2;259
"312480 Estrela do Sul";18;10;8;1;9;2;-;1;60;38;32;3;3;6;47;3;2;4;33;3;283
"312490 Eugenópolis";90;61;7;76;9;5;1;1;115;243;31;4;3;48;78;18;2;13;41;32;878
"312500 Ewbank da Câmara";17;40;2;6;2;8;6;1;34;29;32;13;13;19;52;4;2;6;26;11;323
"312510 Extrema";264;61;18;9;2;15;3;-;205;40;58;8;4;119;352;25;7;10;75;7;1282
"312520 Fama";6;35;1;1;1;10;-;-;30;14;19;1;1;17;27;6;1;4;8;4;186
"312530 Faria Lemos";17;22;6;19;3;2;1;2;35;28;16;6;5;21;40;3;1;1;26;3;257
"312540 Felício dos Santos";12;6;3;7;11;9;3;-;58;30;25;4;4;15;101;7;1;18;31;13;358
"312560 Felisburgo";35;28;4;23;4;7;-;-;53;105;45;3;10;58;89;8;5;8;33;18;536
"312570 Felixlândia";18;47;2;8;3;5;3;-;74;41;63;6;14;35;152;7;2;9;68;8;565
"312580 Fernandes Tourinho";36;24;-;22;1;12;-;-;31;45;17;3;6;32;30;2;1;2;26;2;292
"312590 Ferros";80;49;3;65;7;6;20;1;86;49;57;11;15;76;88;18;1;10;67;33;742
"312595 Fervedouro";54;47;1;74;19;17;13;-;131;166;77;39;8;60;103;12;4;9;108;18;960
"312600 Florestal";26;8;2;-;3;3;2;-;36;6;36;2;7;7;43;9;1;-;49;5;245
"312610 Formiga";129;386;23;107;10;54;14;2;490;384;399;55;51;205;579;73;22;40;360;23;3406
"312620 Formoso";2;3;1;1;-;2;2;-;11;7;12;2;3;2;42;4;9;1;25;-;129
"312630 Fortaleza de Minas";16;22;5;2;5;5;1;-;40;29;12;6;1;10;31;3;1;4;31;-;224
"312640 Fortuna de Minas";10;15;2;3;1;4;1;-;43;22;14;5;2;6;33;2;1;3;26;3;196
"312650 Francisco Badaró";12;29;5;6;5;4;1;1;56;30;34;1;5;31;54;5;1;2;48;6;336
"312660 Francisco Dumont";10;17;-;5;1;4;-;-;38;28;27;7;9;18;71;9;1;7;39;5;296
"312670 Francisco Sá";116;81;20;37;38;12;1;1;201;133;103;38;15;102;224;40;5;125;145;26;1463
"312675 Franciscópolis";13;15;2;9;1;2;-;-;33;17;26;3;2;22;70;9;3;1;40;4;272
"312680 Frei Gaspar";58;31;4;8;1;1;-;-;32;16;30;16;2;25;84;11;2;1;81;9;412
"312690 Frei Inocêncio";19;42;4;9;1;21;-;-;58;20;33;2;9;25;108;14;8;2;70;4;449
"312695 Frei Lagonegro";18;12;-;13;1;4;-;-;10;30;21;2;6;7;32;-;5;-;18;1;180
"312700 Fronteira";12;30;1;4;5;1;-;1;31;20;31;3;6;25;106;11;1;6;49;2;345
"312705 Fronteira dos Vales";43;16;3;13;-;-;-;-;19;41;13;3;4;15;50;5;2;2;20;1;250
"312707 Fruta de Leite";23;13;4;11;5;9;1;1;60;40;44;6;6;18;68;3;3;6;54;9;384
"312710 Frutal";142;282;42;118;15;41;18;2;344;435;303;45;30;262;697;50;28;48;449;21;3372
"312720 Funilândia";5;20;3;1;2;4;2;-;22;12;40;4;2;15;62;4;1;1;34;2;236
"312730 Galiléia";18;31;1;13;-;1;1;-;32;38;46;3;6;18;67;19;3;1;32;4;334
"312733 Gameleiras";10;14;2;18;4;5;-;-;64;20;55;2;2;23;73;31;-;12;31;5;371
"312735 Glaucilândia";3;9;2;9;1;2;1;-;20;12;27;6;2;8;31;7;1;-;23;9;173
"312737 Goiabeira";9;18;1;6;5;2;1;-;35;44;40;3;8;22;39;3;-;-;28;-;264
"312738 Goianá";8;14;3;13;1;10;2;1;38;13;30;5;9;15;36;4;2;3;42;9;258
"312740 Gonçalves";16;13;-;12;3;2;1;1;26;43;34;3;6;16;36;8;-;5;24;1;250
"312750 Gonzaga";19;19;1;30;-;11;1;1;38;37;30;1;7;15;74;9;5;1;29;1;329
"312760 Gouveia";56;29;10;36;12;23;6;3;160;228;69;21;9;105;182;16;4;21;55;24;1069
"312770 Governador Valadares";705;1883;51;385;99;253;32;20;1887;1061;1730;234;380;1061;3759;527;105;95;1766;425;16458
"312780 Grão Mogol";134;21;16;45;82;43;-;-;167;181;95;59;8;74;149;25;5;19;100;9;1232
"312790 Grupiara";2;14;1;-;4;-;1;1;9;8;8;1;1;2;9;-;-;-;7;-;68
"312800 Guanhães";121;114;14;111;7;25;3;1;225;320;203;32;15;192;494;64;18;23;331;14;2327
"312810 Guapé";38;84;23;20;4;12;5;-;120;185;123;14;33;103;81;29;3;13;108;8;1006
"312820 Guaraciaba";95;57;10;40;6;4;5;-;78;176;60;7;10;85;77;11;2;17;65;5;810
"312825 Guaraciama";17;23;4;5;1;7;1;-;43;40;46;5;9;21;60;9;1;4;48;5;349
"312830 Guaranésia";112;120;9;70;14;36;1;-;145;181;112;30;14;128;234;25;9;41;90;55;1426
"312840 Guarani";89;37;6;135;3;6;-;-;145;239;44;8;9;52;84;8;1;3;36;1;906
"312850 Guarará";14;19;3;42;1;4;1;-;59;38;32;2;15;25;37;7;5;-;39;8;351
"312860 Guarda-Mor";20;26;5;9;8;8;2;-;40;52;69;2;1;52;76;13;5;4;27;26;445
"312870 Guaxupé";179;229;32;78;41;112;4;7;604;486;355;28;63;283;574;115;13;75;381;44;3703
"312880 Guidoval";39;48;7;18;3;8;7;-;92;47;54;19;14;40;71;6;5;16;66;4;564
"312890 Guimarânia";12;29;2;13;7;5;-;1;58;113;26;2;8;40;97;10;2;-;41;11;477
"312900 Guiricema";68;42;3;47;1;6;2;-;166;86;62;10;13;30;41;4;5;13;60;5;664
"312910 Gurinhatã";16;30;11;33;1;2;-;1;38;73;23;6;2;37;21;1;3;7;17;1;323
"312920 Heliodora";24;21;3;3;6;7;6;-;40;52;23;5;4;19;53;9;5;6;47;13;346
"312930 Iapu";31;57;2;14;2;11;2;1;59;64;58;12;9;25;112;12;3;13;67;14;568
"312940 Ibertioga";13;25;10;20;48;7;-;-;29;37;35;9;8;19;68;15;-;2;28;3;376
"312950 Ibiá";53;137;7;18;3;24;5;1;115;91;102;15;17;71;186;17;7;9;74;5;957
"312960 Ibiaí";14;25;6;8;5;6;5;-;44;51;49;7;1;23;114;8;2;5;49;8;430
"312965 Ibiracatu";14;22;4;5;-;5;1;-;36;20;32;4;4;18;87;9;7;2;34;5;309
"312970 Ibiraci";15;40;4;5;15;5;20;-;58;61;53;21;8;33;138;8;4;5;59;8;560
"312980 Ibirité";385;592;67;125;120;174;133;13;1058;760;851;170;137;667;1928;291;69;113;901;156;8710
"312990 Ibitiúra de Minas";7;12;3;9;2;5;-;-;27;44;29;4;11;30;44;3;1;9;27;2;269
"313000 Ibituruna";3;7;2;13;3;1;-;-;32;40;28;-;2;19;17;2;-;2;16;4;191
"313005 Icaraí de Minas";17;22;6;4;2;8;-;-;54;42;49;10;9;21;134;8;9;10;66;28;499
"313010 Igarapé";117;136;5;12;16;31;100;3;243;47;108;8;26;81;443;87;29;10;178;30;1710
"313020 Igaratinga";23;54;10;3;2;4;11;3;55;34;41;4;6;13;117;14;1;3;54;3;455
"313030 Iguatama";12;34;2;22;5;7;-;-;53;46;60;7;6;31;50;10;3;5;61;14;428
"313040 Ijaci";14;17;1;3;-;5;-;-;42;17;29;3;5;15;56;7;4;2;21;5;246
"313050 Ilicínea";175;59;10;60;37;8;7;-;83;56;109;28;12;150;112;13;9;16;58;7;1009
"313055 Imbé de Minas";45;29;3;5;-;2;-;1;33;27;38;5;12;34;82;9;4;3;53;15;400
"313060 Inconfidentes";31;39;12;22;8;11;12;-;62;63;31;-;6;21;55;7;4;5;46;1;436
"313065 Indaiabira";13;18;8;13;-;5;-;-;49;59;48;36;4;26;81;5;3;20;51;12;451
"313070 Indianópolis";10;20;1;3;5;3;2;2;15;25;51;3;4;24;65;14;1;3;15;24;290
"313080 Ingaí";9;24;-;3;-;1;-;-;17;12;14;1;2;21;27;2;1;3;5;3;145
"313090 Inhapim";116;127;17;40;8;14;1;1;140;206;216;21;13;139;155;24;5;8;142;25;1418
"313100 Inhaúma";23;34;6;6;8;7;1;-;66;33;16;13;3;22;84;7;3;4;42;7;385
"313110 Inimutaba";18;35;-;7;1;6;2;-;50;25;35;9;7;28;68;8;2;3;47;13;364
"313115 Ipaba";60;73;8;9;10;12;5;-;88;58;66;12;13;49;210;22;6;13;103;16;833
"313120 Ipanema";102;81;18;49;14;11;8;-;87;225;110;11;20;108;240;19;6;8;126;20;1263
"313130 Ipatinga";943;1350;130;226;191;222;50;20;1382;903;936;168;293;678;2147;297;53;182;1742;212;12125
"313140 Ipiaçu";3;27;2;9;9;1;-;1;14;31;21;-;2;12;30;3;-;5;20;4;194
"313150 Ipuiúna";30;38;6;15;6;11;1;-;74;91;69;6;11;48;59;8;9;4;33;4;523
"313160 Iraí de Minas";22;26;2;20;8;2;1;1;33;21;30;6;6;20;74;6;-;10;65;2;355
"313170 Itabira";337;528;81;117;114;101;20;19;738;536;573;102;178;603;1117;94;31;121;569;86;6065
"313180 Itabirinha";146;48;3;39;-;4;-;1;148;251;44;11;7;30;124;6;-;4;49;-;915
"313190 Itabirito";168;185;54;34;46;32;216;-;307;190;292;35;56;146;846;52;11;34;234;49;2987
"313200 Itacambira";5;16;1;5;5;1;4;-;40;10;30;7;6;21;43;11;1;4;34;10;254
"313210 Itacarambi";123;76;19;5;7;7;1;-;56;37;60;10;27;56;264;22;5;13;86;15;889
"313220 Itaguara";35;99;17;56;-;16;13;1;112;213;95;60;10;116;159;19;4;9;61;23;1118
"313230 Itaipé";118;49;7;46;1;3;2;-;84;204;69;12;8;59;162;15;6;6;108;9;968
"313240 Itajubá";343;284;89;184;10;123;5;11;923;680;647;151;87;471;986;123;43;188;695;54;6097
"313250 Itamarandiba";297;90;27;71;60;47;23;2;261;381;205;16;26;249;448;26;10;38;286;13;2576
"313260 Itamarati de Minas";25;47;6;17;2;2;-;1;38;36;17;5;1;21;39;7;-;4;37;5;310
"313270 Itambacuri";504;73;25;103;10;28;2;3;190;216;242;46;25;189;357;30;11;14;261;19;2348
"313280 Itambé do Mato Dentro";1;12;2;2;1;2;1;-;20;12;3;3;3;5;20;5;1;-;17;3;113
"313290 Itamogi";55;35;2;15;9;2;-;1;75;119;60;1;6;38;76;5;3;129;24;5;660
"313300 Itamonte";80;33;26;121;3;3;5;-;180;154;103;16;20;127;146;21;8;9;56;3;1114
"313310 Itanhandu";16;67;46;69;4;26;12;-;174;158;191;16;16;118;211;14;3;10;75;1;1227
"313320 Itanhomi";157;68;9;65;2;8;-;1;58;183;127;13;13;167;182;16;3;3;70;1;1146
"313330 Itaobim";184;63;24;35;6;12;2;-;177;151;145;13;8;118;294;64;8;6;202;32;1544
"313340 Itapagipe";14;36;3;2;9;8;2;1;52;29;39;1;4;12;45;8;1;2;40;3;311
